Ordens ;Protocolo;Resposta ;custas;motivo do atraso
#143752/693;;Negativa ;;
#147102/54;;Negativa ;;
#147102/56;;Negativa ;;
#147102/58;;Negativa ;;
#147102/60;;Negativa ;;
#147102/62;;Negativa ;;
#147102/64;;Negativa ;;
#147102/66;;2 Positiva ;;
#147393/2;;11 Positiva ;;
#147393/4;;Negativa ;;
#147393/6;;Negativa ;;
#147393/8;;Negativa ;;
#147393/10;;Negativa ;;
#147393/12;;Negativa ;;
#147393/14;;Negativa ;;
#147393/16;;Negativa ;;
#147393/18;;Negativa ;;
#147393/20;;Negativa ;;
#147393/22;;Negativa ;;
#147393/24;;Negativa ;;
#147432/2;;Negativa ;;
#147432/4;;Negativa ;;
#147432/6;;1 Positiva ;;
#147432/8;;Negativa ;;
#147434/2;;1 Positiva ;;
#147434/4;;Negativa ;;
#147434/6;;Negativa ;;
#147434/8;;Negativa ;;
#147434/10;;Negativa ;;
#147434/12;;Negativa ;;
#147434/14;;Negativa ;;
#147434/16;;Negativa ;;
#147434/18;;Negativa ;;
#147434/20;;Negativa ;;
#147434/22;;Negativa ;;
#147434/24;;Negativa ;;
#147434/26;;1 Positiva ;;
#147439/2;;2 Positiva ;;
#147440/2;;Negativa ;;
#147440/4;;Negativa ;;
#147440/6;;2 Positiva ;;
#147440/8;;Negativa ;;
#147440/10;;Negativa ;;
#147450/2;;Negativa ;;
#147450/4;;Negativa ;;
#147450/6;;Negativa ;;
#147450/8;;Negativa ;;
#147450/10;;Negativa ;;
#147451/2;;5 Positiva ;;
#147451/4;;Negativa ;;
#147454/3;;Negativa ;;
#147454/5;;2 Positiva ;;
#147457/2;;1 Positiva ;;
#147472/2;;Negativa ;;
#147472/4;;Negativa ;;
#147493/2;;Negativa ;;
#147493/4;;Negativa ;;
#147500/2;;Negativa ;;
#147500/5;;Negativa ;;
;;;;
