Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#149842/2;;1 Positiva ;;
#149842/4;;Negativa ;;
#149842/6;;Negativa ;;
#149842/8;;Negativa ;;
#149842/10;;Negativa ;;
#149842/12;;Negativa ;;
#149853/2;;1 Positiva ;;
#149853/5;;1 Positiva ;;
#149853/7;;Negativa ;;
#149853/9;;6 Positiva ;;
#149857/2;;1 Positiva ;;
#149857/4;;1 Positiva ;;
#149857/6;;2 Positiva ;;
#149857/8;;Negativa ;;
#149857/10;;Negativa ;;
#149857/12;;Negativa ;;
#149857/14;;Negativa ;;
#149857/16;;2 Positiva ;;
#149857/18;;Negativa ;;
#149863/2;;7 Positiva ;;
#149863/4;;Negativa ;;
#149863/6;;Negativa ;;
#149863/8;;6 Positiva ;;
#149863/10;;1 Positiva ;;
#149863/12;;4 Positiva ;;
#149863/14;;Negativa ;;
#149863/16;;Negativa ;;
#149867/2;;Negativa ;;
#149867/4;;Negativa ;;
#149867/6;;Negativa ;;
#149869/2;;Negativa ;;
#149869/4;;Negativa ;;
#149869/6;;2 Positiva ;;
#149869/8;;Negativa ;;
#149925/2;;Negativa ;;
#149959/2;;Negativa ;;
#149974/2;;Negativa ;;
#150058/2;;Negativa ;;
#150058/4;;Negativa ;;
#150058/6;;1 Positiva ;;
#150066/2;;Negativa ;;
#150066/3;;Negativa ;;
#150074/2;;Negativa ;;
#150087/2;;Negativa ;;
#150087/4;;Negativa ;;
#150101/2;;Negativa ;;
#150101/4;;2 Positiva ;;
#150104/2;;Negativa ;;
#150104/4;;2 Positiva ;;
#150104/6;;Negativa ;;
#150178/2;;Negativa ;;
#150178/4;;Negativa ;;
