Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#149927/1;;Negativa ;;
#149927/2;;Negativa ;;
#149927/3;;1 Positiva ;;
#150185/2;;2 Positiva ;;
#150185/4;;Negativa ;;
#150283/2;;Negativa ;;
#150296/2;;Negativa ;;
#150296/4;;1 Positiva ;;
#150296/6;;1 Positiva ;;
#150305/2;;Negativa ;;
#150305/4;;Negativa ;;
#150305/6;;1 Positiva ;;
#150345/1;;Negativa ;;
#150345/2;;1 Positiva ;;
#150345/3;;Negativa ;;
#150345/4;;Negativa ;;
#150345/5;;1 Positiva ;;
#150345/6;;Negativa ;;
#150345/7;;Negativa ;;
#150345/8;;1 Positiva ;;
#150345/9;;1 Positiva ;;
#150345/10;;1 Positiva ;;
#150345/11;;3 Positiva ;;
#150345/12;;Negativa ;;
#150345/13;;Negativa ;;
#150345/14;;2 Positiva ;;
#150345/15;;Negativa ;;
#150345/16;;Negativa ;;
#150345/17;;1 Positiva ;;
#150345/18;;Negativa ;;
#150345/19;;4 Positiva ;;
#150345/20;;1 Positiva ;;
#150345/21;;Negativa ;;
#150345/22;;Negativa ;;
#150345/23;;Negativa ;;
#150345/24;;6 Positiva ;;
#150345/25;;2 Positiva ;;
#150345/26;;Negativa ;;
#150345/27;;1 Positiva ;;
#150345/28;;Negativa ;;
#150345/29;;1 Positiva ;;
#150345/30;;1 Positiva ;;
#150345/31;;1 Positiva ;;
#150345/32;;Negativa ;;
#150345/33;;Negativa ;;
#150345/34;;Negativa ;;
#150345/35;;Negativa ;;
#150345/36;;1 Positiva ;;
#150345/37;;2 Positiva ;;
#150345/38;;Negativa ;;
#150345/39;;Negativa ;;
#150345/40;;Negativa ;;
#150345/41;;Negativa ;;
#150345/42;;Negativa ;;
#150345/43;;Negativa ;;
#150345/44;;Negativa ;;
#150345/45;;Negativa ;;
#150345/46;;2 Positiva ;;
#150345/47;;1 Positiva ;;
#150345/48;;1 Positiva ;;
#150345/49;;Negativa ;;
#150345/50;;1 Positiva ;;
#150345/51;;2 Positiva ;;
#150345/52;;1 Positiva ;;
#150345/53;;Negativa ;;
#150345/54;;Negativa ;;
#150345/55;;1 Positiva ;;
#150345/56;;Negativa ;;
#150345/57;;Negativa ;;
#150345/58;;1 Positiva ;;
#150345/59;;Negativa ;;
#150345/60;;Negativa ;;
#150345/61;;1 Positiva ;;
#150345/62;;Negativa ;;
#150345/63;;Negativa ;;
#150345/64;;2 Positiva ;;
#150345/65;;Negativa ;;
#150345/66;;Negativa ;;
#150345/67;;1 Positiva ;;
#150345/68;;1 Positiva ;;
#150345/69;;Negativa ;;
#150345/70;;1 Positiva ;;
#150345/71;;1 Positiva ;;
#150345/72;;4 Positiva ;;
#150345/73;;Negativa ;;
#150345/74;;2 Positiva ;;
#150345/75;;1 Positiva ;;
#150345/76;;Negativa ;;
#150345/77;;Negativa ;;
#150345/78;;1 Positiva ;;
#150345/79;;Negativa ;;
#150345/80;;2 Positiva ;;
#150345/81;;4 Positiva ;;
#150345/82;;1 Positiva ;;
#150345/83;;1 Positiva ;;
#150345/84;;Negativa ;;
#150345/85;;Negativa ;;
#150345/86;;1 Positiva ;;
#150345/87;;Negativa ;;
#150345/88;;2 Positiva ;;
#150345/89;;Negativa ;;
#150345/90;;Negativa ;;
#150345/91;;6 Positiva ;;
#150345/92;;7 Positiva ;;
#150345/93;;Negativa ;;
#150345/94;;Negativa ;;
#150345/95;;Negativa ;;
#150345/96;;Negativa ;;
#150345/97;;1 Positiva ;;
#150345/98;;1 Positiva ;;
#150345/99;;Negativa ;;
#150345/100;;3 Positiva ;;
#150345/101;;1 Positiva ;;
#150345/102;;2 Positiva ;;
#150345/103;;Negativa ;;
#150345/104;;Negativa ;;
#150345/105;;5 Positiva ;;
#150345/106;;2 Positiva ;;
#150345/107;;1 Positiva ;;
#150345/108;;4 Positiva ;;
#150345/109;;Negativa ;;
#150345/110;;Negativa ;;
#150345/111;;Negativa ;;
#150345/112;;Negativa ;;
#150345/113;;1 Positiva ;;
#150345/114;;4 Positiva ;;
#150345/115;;2 Positiva ;;
#150345/116;;Negativa ;;
#150345/117;;1 Positiva ;;
#150345/118;;3 Positiva ;;
#150345/119;;Negativa ;;
#150345/120;;1 Positiva ;;
#150345/121;;3 Positiva ;;
#150345/122;;1 Positiva ;;
#150345/123;;2 Positiva ;;
#150345/124;;3 Positiva ;;
#150345/125;;3 Positiva ;;
#150345/126;;Negativa ;;
#150345/127;;Negativa ;;
#150345/128;;Negativa ;;
#150345/129;;1 Positiva ;;
#150345/130;;Negativa ;;
#150345/131;;Negativa ;;
#150345/132;;Negativa ;;
#150345/133;;1 Positiva ;;
#150345/134;;Negativa ;;
#150345/135;;1 Positiva ;;
#150345/136;;2 Positiva ;;
#150345/137;;4 Positiva ;;
#150345/138;;Negativa ;;
#150345/139;;2 Positiva ;;
#150345/140;;6 Positiva ;;
#150345/141;;Negativa ;;
#150345/142;;1 Positiva ;;
#150345/143;;1 Positiva ;;
#150345/144;;Negativa ;;
#150345/145;;3 Positiva ;;
#150345/146;;2 Positiva ;;
#150345/147;;2 Positiva ;;
#150345/148;;Negativa ;;
#150345/149;;6 Positiva ;;
#150345/150;;1 Positiva ;;
#150345/151;;Negativa ;;
#150345/152;;1 Positiva ;;
#150345/153;;1 Positiva ;;
#150345/154;;Negativa ;;
#150345/155;;1 Positiva ;;
#150345/156;;Negativa ;;
#150345/157;;Negativa ;;
#150345/158;;3 Positiva ;;
#150345/159;;Negativa ;;
#150345/160;;2 Positiva ;;
#150345/161;;2 Positiva ;;
#150345/162;;2 Positiva ;;
#150345/163;;Negativa ;;
#150345/164;;2 Positiva ;;
#150345/165;;Negativa ;;
#150345/166;;2 Positiva ;;
#150345/167;;2 Positiva ;;
#150345/168;;Negativa ;;
#150345/169;;2 Positiva ;;
#150345/170;;Negativa ;;
#150345/171;;Negativa ;;
#150345/172;;1 Positiva ;;
#150345/173;;Negativa ;;
#150345/174;;Negativa ;;
#150345/175;;Negativa ;;
#150345/176;;2 Positiva ;;
#150345/177;;Negativa ;;
#150345/178;;Negativa ;;
#150345/179;;Negativa ;;
#150345/180;;2 Positiva ;;
#150345/181;;1 Positiva ;;
#150345/182;;Negativa ;;
#150345/183;;2 Positiva ;;
#150345/184;;Negativa ;;
#150345/185;;Negativa ;;
#150345/186;;2 Positiva ;;
#150345/187;;1 Positiva ;;
#150345/188;;Negativa ;;
#150345/189;;1 Positiva ;;
#150345/190;;Negativa ;;
#150345/191;;Negativa ;;
#150345/192;;Negativa ;;
#150345/193;;Negativa ;;
#150345/194;;Negativa ;;
#150345/195;;Negativa ;;
#150345/196;;Negativa ;;
#150345/197;;Negativa ;;
#150345/198;;1 Positiva ;;
#150345/199;;2 Positiva ;;
#150345/200;;1 Positiva ;;
#150345/201;;Negativa ;;
#150345/202;;Negativa ;;
#150345/203;;Negativa ;;
#150345/204;;3 Positiva ;;
#150345/205;;Negativa ;;
#150345/206;;Negativa ;;
#150345/207;;2 Positiva ;;
#150345/208;;Negativa ;;
#150345/209;;Negativa ;;
#150345/210;;1 Positiva ;;
#150345/211;;Negativa ;;
#150345/212;;Negativa ;;
#150345/213;;2 Positiva ;;
#150345/214;;Negativa ;;
#150345/215;;Negativa ;;
#150345/216;;1 Positiva ;;
#150345/217;;4 Positiva ;;
#150345/218;;Negativa ;;
#150345/219;;1 Positiva ;;
#150345/220;;1 Positiva ;;
#150345/221;;2 Positiva ;;
#150345/222;;1 Positiva ;;
#150345/223;;2 Positiva ;;
#150345/224;;Negativa ;;
#150345/225;;1 Positiva ;;
#150345/226;;2 Positiva ;;
#150345/227;;Negativa ;;
#150345/228;;Negativa ;;
#150345/229;;1 Positiva ;;
#150345/230;;2 Positiva ;;
#150345/231;;1 Positiva ;;
#150345/232;;1 Positiva ;;
#150345/233;;1 Positiva ;;
#150345/234;;Negativa ;;
#150345/235;;Negativa ;;
#150345/236;;1 Positiva ;;
#150345/237;;1 Positiva ;;
#150345/238;;Negativa ;;
#150345/239;;2 Positiva ;;
#150345/240;;1 Positiva ;;
#150345/241;;1 Positiva ;;
#150345/242;;2 Positiva ;;
#150345/243;;Negativa ;;
#150345/244;;Negativa ;;
#150345/245;;5 Positiva ;;
#150345/246;;Negativa ;;
