Ordens ;Protocolo ;Resultado ;custas;motivo do atraso
#153374/505;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#153374/506;;Negativa ;;Detran não emitiu a certidão na data prometida 
#153374/507;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#153374/508;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#155864/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#155867/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156110/2;;10 Positiva ;;Detran não emitiu a certidão na data prometida 
#156110/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156110/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156110/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156110/10;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156110/12;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156110/14;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156140/2;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#156140/4;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#156140/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156140/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156140/10;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156173/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156173/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156173/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156173/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156173/10;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/10;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156175/12;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/14;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/16;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/18;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/20;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/22;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/24;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/26;;3 Positiva ;;Detran não emitiu a certidão na data prometida 
#156175/28;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/30;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/32;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/34;;5 Positiva ;;Detran não emitiu a certidão na data prometida 
#156175/36;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/38;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156175/40;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156194/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156204/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156204/4;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156204/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156226/1;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156226/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156226/3;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156279/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156279/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156279/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156279/8;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156289/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156289/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156304/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156304/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156304/6;;2 Positiva ;;Detran não emitiu a certidão na data prometida 
#156328/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156328/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156346/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156346/4;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156372/2;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#156372/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156373/2;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#156373/4;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156466/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156466/4;;5 Positiva ;;Detran não emitiu a certidão na data prometida 
#156466/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156480/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156480/4;;4 Positiva ;;Detran não emitiu a certidão na data prometida 
#156480/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156648/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156648/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156648/6;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156654/2;;1 Positiva ;;Detran não emitiu a certidão na data prometida 
#156654/4;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156656/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156656/5;;Negativa ;;Detran não emitiu a certidão na data prometida 
#156696/2;;Negativa ;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
;;;;Detran não emitiu a certidão na data prometida 
