Ordens ;Protocolo;Resposta ;custas;motivo do atraso;
#145881/2;;Negativa ;;
#145881/4;;Negativa ;;
#148111/1;;Negativa ;;
#148111/2;;1 Positiva;;
#148111/3;;Negativa ;;
#148197/2;;Negativa ;;
#148197/4;;1 Positiva;;
#148202/2;;Negativa ;;
#148202/4;;Negativa ;;
#148251/2;;Negativa ;;
#148251/4;;Negativa ;;
#148251/6;;Negativa ;;
#148253/2;;2 Positiva;;
#148253/5;;Negativa ;;
#148255/1;;3 Positiva;;
#148255/2;;Negativa ;;
#148255/3;;1 Positiva;;
#148255/4;;1 Positiva;;
#148255/5;;1 Positiva;;
#148255/6;;1 Positiva;;
#148255/7;;Negativa ;;
#148255/8;;7 Positiva;;
#148255/9;;Negativa ;;
#148255/10;;1 Positiva;;
#148255/11;;3 Positiva;;
#148255/12;;Negativa ;;
#148255/13;;Negativa ;;
#148255/14;;2 Positiva;;
#148255/15;;1 Positiva;;
#148255/16;;Negativa ;;
#148255/17;;Negativa ;;
#148255/18;;7 Positiva;;
#148255/19;;Negativa ;;
#148255/20;;1 Positiva;;;
#148255/21;;Negativa ;;;
#148255/22;;Negativa ;;;
#148255/23;;Negativa ;;;
#148255/24;;1 Positiva;;;
#148255/25;;2 Positiva;;;
#148255/26;;Negativa ;;;
#148255/27;;Negativa ;;;
#148255/28;;1 Positiva;;;
#148255/29;;Negativa ;;;
#148255/30;;Negativa ;;;
#148255/31;;1 Positiva;;;
#148255/32;;Negativa ;;;
#148255/33;;2 Positiva;;;
#148255/34;;Negativa ;;;
#148255/35;;2 Positiva;;;
#148255/36;;1 Positiva;;;
#148255/37;;Negativa ;;;
#148255/38;;1 Positiva;;;
#148255/39;;2 Positiva;;;
#148255/40;;1 Positiva;;;
#148255/41;;Negativa ;;;
#148255/42;;1 Positiva;;;
#148255/43;;Negativa ;;;
#148255/44;;Negativa ;;;
#148255/45;;Negativa ;;;
#148255/46;;1 Positiva;;;
#148255/47;;2 Positiva;;;
#148255/48;;Negativa ;;;
#148255/49;;Negativa ;;;
#148255/50;;2 Positiva;;;
#148255/51;;1 Positiva;;;
#148255/52;;Negativa ;;;
#148255/53;;Negativa ;;;
