Relatório ;Aprovado;Minha Unidade;;;;;;
Entre ;10/10/2011 00:00:00 e 10/10/2011 23:59:59 ;tirado em 10/10/2011 15:32:26;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;;Feito;
10/10/2011 15:18:15;#147670/1;Distribuidor Civel ;41.7;;41.70;Depósito;Não;
10/10/2011 15:18:15;#147670/2;Justiça do Trabalho ;19.53;;19.53;Depósito;Não;
10/10/2011 15:18:19;#147670/3;Negativa de Protesto ;25.11;;25.11;Depósito;Não;
10/10/2011 15:18:20;#147670/4;Distribuidor Civel ;28;;28.00;Depósito;Não;
10/10/2011 15:18:21;#147670/5;Justiça do Trabalho ;19.53;;19.53;Depósito;Não;
10/10/2011 15:18:22;#147670/6;Negativa de Protesto ;25.11;;25.11;Depósito;Não;
10/10/2011 15:18:23;#147670/7;Distribuidor Civel ;28;;28.00;Depósito;Não;
10/10/2011 15:18:24;#147670/8;Justiça do Trabalho ;19.53;;19.53;Depósito;Não;
10/10/2011 15:18:27;#147670/9;Negativa de Protesto ;25.01;;25.01;Depósito;Não;
10/10/2011 15:18:28;#147670/10;Certidão de Falência e Concordata ;28;;28.00;Depósito;Não;
;;;;Total;259.52;;;
