Ordens;Protocolo;Resposta ;custas;motivo do atraso
#153522/2;;2 Positiva ;;
#153717/1;;3 Positiva ;;
#153717/2;;3 Positiva ;;
#153717/3;;2 Positiva ;;
#153717/4;;Negativa ;;
#153717/5;;1 Positiva ;;
#153717/6;;Negativa ;;
#153717/7;;3 Positiva ;;
#153717/8;;1 Positiva ;;
#153717/9;;Negativa ;;
#153717/10;;Negativa ;;
#153717/11;;2 Positiva ;;
#153717/12;;Negativa ;;
#153717/13;;1 Positiva ;;
#153717/14;;Negativa ;;
#153717/15;;5 Positiva ;;
#153717/16;;1 Positiva ;;
#153717/17;;Negativa ;;
#153717/18;;Negativa ;;
#153717/19;;Negativa ;;
#153721/2;;Negativa ;;
#153721/4;;Negativa ;;
#153721/6;;Negativa ;;
#153747/2;;Negativa ;;
#153747/4;;1 Positiva ;;
#153747/6;;Negativa ;;
#153782/2;;Negativa ;;
#153782/4;;4 Positiva ;;
#153782/6;;4 Positiva ;;
#153782/8;;2 Positiva ;;
#153782/10;;6 Positiva ;;
#153782/12;;7 Positiva ;;
#153782/14;;2 Positiva ;;
#153782/16;;1 Positiva ;;
#153791/2;;Negativa ;;
#153791/4;;Negativa ;;
#152821/2;;Negativa;;
#152821/4;;Negativa;;
#152821/6;;Negativa;;
#152821/8;;Negativa;;
#152821/10;;1 Positiva ;;
#152827/2;;1 Positiva ;;
#152827/4;;Negativa;;
#152827/6;;Negativa;;
#152843/2;;Negativa;;
#152848/2;;Negativa;;
#152848/4;;Negativa;;
#152851/2;;Negativa;;
#152851/4;;1 Positiva ;;
#152851/6;;Negativa;;
#152928/2;;Negativa;;
#152930/2;;Negativa;;
#152930/4;;Negativa;;
#152934/2;;Negativa;;
#152934/4;;Negativa;;
#152934/6;;Negativa;;
#152934/8;;1 Positiva ;;
#152934/10;;Negativa;;
#152934/12;;2 Positiva ;;
#152948/2;;Negativa;;
#152948/4;;Negativa;;
#152948/6;;Negativa;;
#152948/8;;1 Positiva ;;
#153000/2;;1 Positiva ;;
#153000/4;;3 Positiva ;;
#153038/2;;Negativa;;
#153038/4;;3 Positiva ;;
#153038/6;;1 Positiva ;;
#153055/2;;1 Positiva ;;
#152561/2;;Negativa;;
#152666/2;;1 Positiva ;;
#152669/2;;Negativa;;
#152669/4;;Negativa;;
#152740/1;;1 Positiva ;;
#152740/2;;Negativa;;
#152740/3;;Negativa;;
#152740/4;;Negativa;;
#152740/5;;1 Positiva ;;
#152740/6;;Negativa;;
#152740/7;;Negativa;;
#152740/8;;Negativa;;
#152740/9;;Negativa;;
#152740/10;;Negativa;;
#152740/11;;Negativa;;
#152740/12;;1 Positiva ;;
#152740/13;;1 Positiva ;;
#152740/14;;Negativa;;
#152740/15;;1 Positiva ;;
#152740/16;;1 Positiva ;;
#152740/17;;1 Positiva ;;
#152740/18;;1 Positiva ;;
#152740/19;;Negativa;;
#152740/20;;1 Positiva ;;
#152740/21;;1 Positiva ;;
#152772/1;;Negativa;;
#152772/2;;Negativa;;
#152772/3;;1 Positiva ;;
#152772/4;;Negativa;;
#152772/5;;Negativa;;
#152772/6;;Negativa;;
#152772/7;;Negativa;;
#152772/8;;Negativa;;
#152772/9;;Negativa;;
#152772/10;;1 Positiva ;;
#152772/11;;1 Positiva ;;
#152772/12;;Negativa;;
#152772/13;;Negativa;;
#152772/14;;Negativa;;
#152772/15;;Negativa;;
#152772/16;;Negativa;;
#152772/17;;Negativa;;
#152772/18;;Negativa;;
#152772/19;;Negativa;;
#152772/20;;Negativa;;
#152772/21;;Negativa;;
#152772/22;;1 Positiva ;;
#152772/23;;Negativa;;
#152772/24;;2 Positiva ;;
#152772/25;;Negativa;;
#152772/26;;Negativa;;
#152772/27;;Negativa;;
#152772/28;;Negativa;;
#152772/29;;Negativa;;
#152772/30;;Negativa;;
#152772/31;;Negativa;;
#152772/32;;1 Positiva ;;
#152772/33;;Negativa;;
#152772/34;;1 Positiva ;;
#152772/35;;Negativa;;
#152772/36;;Negativa;;
#152772/37;;Negativa;;
#152772/38;;Negativa;;
#152772/39;;Negativa;;
#152772/40;;Negativa;;
#152772/41;;Negativa;;
#152772/42;;Negativa;;
#152772/43;;Negativa;;
#152772/44;;Negativa;;
#152772/45;;1 Positiva ;;
#152772/46;;Negativa;;
#152772/47;;1 Positiva ;;
#152772/48;;Negativa;;
#152772/49;;Negativa;;
#152772/50;;1 Positiva ;;
#152772/51;;Negativa;;
#152772/52;;1 Positiva ;;
#152772/53;;Negativa;;
#152772/54;;1 Positiva ;;
#152772/55;;Negativa;;
#152772/56;;Negativa;;
#152772/57;;Negativa;;
#152772/58;;Negativa;;
#152772/59;;Negativa;;
#152772/60;;Negativa;;
#152772/61;;Negativa;;
#152772/62;;1 Positiva ;;
#152772/63;;Negativa;;
#152772/64;;Negativa;;
#152772/65;;Negativa;;
#152772/66;;Negativa;;
#152772/67;;Negativa;;
#152772/68;;Negativa;;
#152772/69;;1 Positiva ;;
#152772/70;;Negativa;;
#152772/71;;1 Positiva ;;
#152772/72;;1 Positiva ;;
#152772/73;;Negativa;;
#152772/74;;1 Positiva ;;
#152772/75;;Negativa;;
#152772/76;;Negativa;;
#152772/77;;Negativa;;
#152772/78;;Negativa;;
#152772/79;;Negativa;;
#152772/80;;Negativa;;
#152772/81;;Negativa;;
#152772/82;;1 Positiva ;;
#152772/83;;Negativa;;
#152772/84;;1 Positiva ;;
#152772/85;;Negativa;;
#152772/86;;1 Positiva ;;
#152780/2;;Negativa;;
#152784/2;;Negativa;;
#152784/4;;1 Positiva ;;
#152784/6;;1 Positiva ;;
#152787/2;;Negativa;;
#152787/4;;Negativa;;
#152787/6;;Negativa;;
#152787/8;;Negativa;;
#152787/10;;1 Positiva ;;
#152787/12;;Negativa;;
#152787/14;;Negativa;;
#152787/16;;Negativa;;
#152793/2;;Negativa;;
#152793/4;;Negativa;;
#152793/6;;Negativa;;
#152793/8;;Negativa;;
#152793/10;;Negativa;;
#152793/12;;Negativa;;
#152793/14;;Negativa;;
#152819/2;;1 Positiva ;;
#152819/4;;1 Positiva ;;
#152819/6;;Negativa;;
#152819/8;;1 Positiva ;;
#151854/121;;1 Positiva ;;
#151854/122;;Negativa ;;
#151854/123;;Negativa ;;
#151933/2;;Negativa ;;
#151933/4;;Negativa ;;
#151990/1;;3 Positiva ;;
#151990/2;;Negativa ;;
#151990/3;;Negativa ;;
#151990/4;;Negativa ;;
#151990/5;;Negativa ;;
#151990/6;;Negativa ;;
#151990/7;;Negativa ;;
#151990/8;;Negativa ;;
#151990/9;;Negativa ;;
#151990/10;;Negativa ;;
#151990/11;;Negativa ;;
#151990/12;;Negativa ;;
#151990/13;;Negativa ;;
#151990/14;;Negativa ;;
#151990/15;;Negativa ;;
#151990/16;;Negativa ;;
#151990/17;;Negativa ;;
#151990/18;;Negativa ;;
#151990/19;;Negativa ;;
#151990/20;;Negativa ;;
#151990/21;;5 Positiva ;;
#151990/22;;Negativa ;;
#151990/23;;Negativa ;;
#151990/24;;Negativa ;;
#151990/25;;Negativa ;;
#151990/26;;Negativa ;;
#151990/27;;Negativa ;;
#151990/28;;Negativa ;;
#151990/29;;Negativa ;;
#151990/30;;Negativa ;;
#151990/31;;Negativa ;;
#151990/32;;Negativa ;;
#151990/33;;Negativa ;;
#151990/34;;Negativa ;;
#151990/35;;Negativa ;;
#151990/36;;Negativa ;;
#151990/37;;Negativa ;;
#151990/38;;Negativa ;;
#151990/39;;Negativa ;;
#151990/40;;Negativa ;;
#151990/41;;Negativa ;;
#151990/42;;Negativa ;;
#151990/43;;Negativa ;;
#151990/44;;Negativa ;;
#151990/45;;Negativa ;;
#151990/46;;Negativa ;;
#151990/47;;Negativa ;;
#151990/48;;Negativa ;;
#151990/49;;Negativa ;;
#151990/50;;Negativa ;;
#151990/51;;1 Positiva ;;
#151990/52;;Negativa ;;
#151990/53;;Negativa ;;
#151990/54;;Negativa ;;
#151990/55;;Negativa ;;
#151990/56;;Negativa ;;
#151990/57;;Negativa ;;
