Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#151345/228;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/229;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/230;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/231;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/232;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/233;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/234;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/235;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/236;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/237;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/238;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/239;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/240;;6 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/241;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/242;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/243;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/244;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/245;;6 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/246;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/247;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/248;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/249;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/250;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/251;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/252;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/253;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/254;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/255;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/256;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/257;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/258;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/259;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/260;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/261;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/262;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/263;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/264;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/265;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/266;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/267;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/268;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/269;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/270;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/271;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/272;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/273;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/274;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/275;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/276;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/277;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/278;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/279;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/280;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/281;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/282;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/283;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/284;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/285;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/286;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/287;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/288;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/289;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/290;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/291;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/292;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/293;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/294;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/295;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/296;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/297;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/298;;3 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/299;;Negativa;;Detran não emitiu certidadão na data prometida 
#151345/300;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/301;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/302;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/303;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/304;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/305;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/306;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/307;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/308;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/309;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/310;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/311;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/312;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/313;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/314;;7 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/315;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/316;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/317;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/318;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/319;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/320;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/321;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/322;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/323;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/324;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/325;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/326;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/327;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/328;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/329;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/330;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/331;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/332;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/333;;4 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/334;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/335;;10 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/336;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/337;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/338;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/339;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/340;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/341;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/342;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/343;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/344;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/345;;5 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/346;;7 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/347;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/348;;Negativa ;;Detran não emitiu certidadão na data prometida 
#151345/349;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/350;;2 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/351;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/352;;1 Positiva ;;Detran não emitiu certidadão na data prometida 
#151345/353;;Negativa ;;Detran não emitiu certidadão na data prometida 
