Ordens;Protocolo;Resposta ;custas;motivo do atraso
#150478/1;;1 Positiva ;;
#150478/2;;1 Positiva ;;
#150478/3;;2 Positiva ;;
#150478/4;;Negativa;;
#150478/5;;Negativa;;
#150478/6;;Negativa;;
#150478/7;;2 Positiva ;;
#150478/8;;Negativa;;
#150478/9;;Negativa;;
#150478/10;;3 Positiva ;;
#150478/11;;2 Positiva ;;
#150478/12;;Negativa;;
#150478/13;;Negativa;;
#150478/14;;2 Positiva ;;
#150478/15;;Negativa;;
#150478/16;;Negativa;;
#150478/17;;1 Positiva ;;
#150478/18;;Negativa;;
#150478/19;;Negativa;;
#150478/20;;2 Positiva ;;
#150478/21;;2 Positiva ;;
#154308/2;;Negativa;;
#154308/4;;Negativa;;
#154308/6;;Negativa;;
#154308/8;;Negativa;;
#154308/10;;Negativa;;
#154308/12;;Negativa;;
#154322/2;;1 Positiva ;;
#154322/4;;1 Positiva ;;
#154322/6;;1 Positiva ;;
#154332/2;;5 Positiva ;;
#154378/2;;Negativa;;
#154378/4;;Negativa;;
#154404/2;;Negativa;;
#154404/4;;Negativa;;
#154404/6;;1 Positiva ;;
#154582/2;;Negativa;;
#154591/2;;2 Positiva ;;
#154591/4;;1 Positiva ;;
#153856/2;;Negativa ;;
#153856/4;;Negativa ;;
#153856/6;;Negativa ;;
#153875/2;;Negativa ;;
#154003/2;;Negativa ;;
#154003/4;;Negativa ;;
#154017/2;;Negativa ;;
#154017/4;;Negativa ;;
#154017/6;;Negativa ;;
#154017/8;;1 Positiva ;;
#154031/2;;1 Positiva ;;
#154031/4;;Negativa ;;
#154047/2;;Negativa ;;
#154047/4;;Negativa ;;
#154047/6;;Negativa ;;
#154047/8;;Negativa ;;
#154117/2;;Negativa ;;
#154132/2;;3 Positiva ;;
#154132/4;;2 Positiva ;;
#154159/2;;Negativa ;;
#154170/2;;Negativa ;;
#154185/2;;2 Positiva ;;
#154193/2;;Negativa ;;
#154193/4;;1 Positiva ;;
