Ordens;Protocolo;Resposta ;custas;motivo do atraso
#153522/2;;2 Positiva ;;
#153717/1;;3 Positiva ;;
#153717/2;;3 Positiva ;;
#153717/3;;2 Positiva ;;
#153717/4;;Negativa ;;
#153717/5;;1 Positiva ;;
#153717/6;;Negativa ;;
#153717/7;;3 Positiva ;;
#153717/8;;1 Positiva ;;
#153717/9;;Negativa ;;
#153717/10;;Negativa ;;
#153717/11;;2 Positiva ;;
#153717/12;;Negativa ;;
#153717/13;;1 Positiva ;;
#153717/14;;Negativa ;;
#153717/15;;5 Positiva ;;
#153717/16;;1 Positiva ;;
#153717/17;;Negativa ;;
#153717/18;;Negativa ;;
#153717/19;;Negativa ;;
#153721/2;;Negativa ;;
#153721/4;;Negativa ;;
#153721/6;;Negativa ;;
#153747/2;;Negativa ;;
#153747/4;;1 Positiva ;;
#153747/6;;Negativa ;;
#153782/2;;Negativa ;;
#153782/4;;4 Positiva ;;
#153782/6;;4 Positiva ;;
#153782/8;;2 Positiva ;;
#153782/10;;6 Positiva ;;
#153782/12;;7 Positiva ;;
#153782/14;;2 Positiva ;;
#153782/16;;1 Positiva ;;
#153791/2;;Negativa ;;
#153791/4;;Negativa ;;
#153085/2;;Negativa ;;
#153093/2;;1 Positiva ;;
#153093/4;;Negativa ;;
#153093/6;;1 Positiva ;;
#153093/8;;Negativa ;;
#153096/2;;1 Positiva ;;
#153096/4;;Negativa ;;
#153096/6;;Negativa ;;
#153096/8;;Negativa ;;
#153103/2;;6 Positiva ;;
#153103/4;;Negativa ;;
#153103/6;;1 Positiva ;;
#153103/8;;3 Positiva ;;
#153103/10;;Negativa ;;
#153114/2;;Negativa ;;
#153114/4;;Negativa ;;
#153114/6;;Negativa ;;
#153114/8;;Negativa ;;
#153114/10;;Negativa ;;
#153114/12;;Negativa ;;
#153114/14;;Negativa ;;
#153114/16;;Negativa ;;
#153114/18;;Negativa ;;
#153114/19;;Negativa ;;
#153114/22;;Negativa ;;
#153114/24;;Negativa ;;
#153114/26;;Negativa ;;
#153114/29;;Negativa ;;
#153114/30;;Negativa ;;
#153154/2;;2 Positiva ;;
#153154/4;;Negativa ;;
#153154/6;;Negativa ;;
#153154/8;;Negativa ;;
#153154/10;;Negativa ;;
#153154/12;;Negativa ;;
#153154/14;;Negativa ;;
#153154/16;;Negativa ;;
#153154/18;;Negativa ;;
#153154/20;;Negativa ;;
#153159/2;;Negativa ;;
#153159/4;;2 Positiva ;;
#153230/1;;Negativa ;;
#153230/2;;Negativa ;;
#153230/3;;Negativa ;;
#153239/2;;Negativa ;;
#153239/4;;Negativa ;;
#153239/6;;Negativa ;;
#153239/8;;Negativa ;;
#153239/10;;1 Positiva ;;
#153239/12;;Negativa ;;
#153245/2;;Negativa ;;
#153245/3;;Negativa ;;
#153245/4;;Negativa ;;
#153321/1;;1 Positiva ;;
#153321/2;;2 Positiva ;;
#153321/3;;Negativa ;;
#153321/4;;1 Positiva ;;
#153321/5;;3 Positiva ;;
#153321/6;;4 Positiva ;;
#153321/7;;1 Positiva ;;
#153321/8;;6 Positiva ;;
#153321/9;;Negativa ;;
#153321/10;;Negativa ;;
#153321/11;;Negativa ;;
#153321/12;;2 Positiva ;;
#153321/13;;Negativa ;;
#153321/14;;2 Positiva ;;
#153321/15;;Negativa ;;
#153321/16;;Negativa ;;
#153321/17;;4 Positiva ;;
#153321/18;;Negativa ;;
#153321/19;;1 Positiva ;;
#153321/20;;5 Positiva ;;
#153321/21;;Negativa ;;
#153321/22;;1 Positiva ;;
#153321/23;;Negativa ;;
#153321/24;;1 Positiva ;;
#153321/25;;1 Positiva ;;
#153321/26;;Negativa ;;
#153321/27;;1 Positiva ;;
#153321/28;;Negativa ;;
#153321/29;;Negativa ;;
#153321/30;;1 Positiva ;;
#153321/31;;2 Positiva ;;
#153321/32;;Negativa ;;
#153321/33;;Negativa ;;
#153321/34;;Negativa ;;
#153321/35;;Negativa ;;
#153321/36;;Negativa ;;
#153321/37;;Negativa ;;
#153321/38;;Negativa ;;
#153321/39;;Negativa ;;
#153321/40;;1 Positiva ;;
#153321/41;;5 Positiva ;;
#153321/42;;Negativa ;;
#153321/43;;1 Positiva ;;
#153321/44;;1 Positiva ;;
#153321/45;;3 Positiva ;;
#153321/46;;1 Positiva ;;
#153321/47;;2 Positiva ;;
#153321/48;;1 Positiva ;;
#153321/49;;1 Positiva ;;
#153321/50;;Negativa ;;
#153321/51;;5 Positiva ;;
#153321/52;;Negativa ;;
#153321/53;;1 Positiva ;;
#153321/54;;1 Positiva ;;
#153321/55;;Negativa ;;
#153321/56;;3 Positiva ;;
#153321/57;;1 Positiva ;;
#153321/58;;Negativa ;;
#153321/59;;Negativa ;;
#153321/60;;2 Positiva ;;
#153321/61;;Negativa ;;
#153321/62;;Negativa ;;
#153321/63;;2 Positiva ;;
#153335/2;;1 Positiva ;;
#153335/4;;Negativa ;;
#153335/7;;Negativa ;;
#153335/8;;Negativa ;;
#153335/10;;Negativa ;;
#153374/1;;2 Positiva ;;
#153374/2;;6 Positiva ;;
#153374/3;;1 Positiva ;;
#153374/4;;Negativa ;;
#153374/5;;Negativa ;;
#153374/6;;Negativa ;;
#153374/7;;2 Positiva ;;
#153374/8;;Negativa ;;
#153374/9;;9 Positiva ;;
#153374/10;;Negativa ;;
#153374/11;;1 Positiva ;;
#153374/12;;Negativa ;;
#153374/13;;2 Positiva ;;
#153374/14;;Negativa ;;
#153374/15;;Negativa ;;
#153374/16;;1 Positiva ;;
#153374/17;;3 Positiva ;;
#153374/18;;Negativa ;;
#153374/19;;Negativa ;;
#153374/20;;1 Positiva ;;
#153374/21;;1 Positiva ;;
#153374/22;;1 Positiva ;;
#153374/23;;1 Positiva ;;
#153374/24;;1 Positiva ;;
#153374/25;;Negativa ;;
#153374/26;;2 Positiva ;;
#153374/27;;4 Positiva ;;
#153374/28;;1 Positiva ;;
#153374/29;;Negativa ;;
#153374/30;;1 Positiva ;;
#153374/31;;Negativa ;;
#153374/32;;1 Positiva ;;
#153374/33;;Negativa ;;
#153374/34;;1 Positiva ;;
#153374/35;;Negativa ;;
#153374/36;;Negativa ;;
#153374/37;;Negativa ;;
#153374/38;;3 Positiva ;;
#153374/39;;Negativa ;;
#153374/40;;1 Positiva ;;
#153374/41;;Negativa ;;
#153374/42;;4 Positiva ;;
#153374/43;;1 Positiva ;;
#153374/44;;1 Positiva ;;
#153374/45;;Negativa ;;
#153374/46;;Negativa ;;
#153374/47;;Negativa ;;
#153374/48;;Negativa ;;
#153374/49;;Negativa ;;
#153374/50;;1 Positiva ;;
#153374/51;;1 Positiva ;;
#153374/52;;Negativa ;;
#153374/53;;2 Positiva ;;
#153374/54;;2 Positiva ;;
#153374/55;;Negativa ;;
#153374/56;;1 Positiva ;;
#153374/57;;Negativa ;;
#153374/58;;1 Positiva ;;
#153374/59;;1 Positiva ;;
#153374/60;;Negativa ;;
#153374/61;;Negativa ;;
#153374/62;;Negativa ;;
#153374/63;;Negativa ;;
#153374/64;;Negativa ;;
#153374/65;;Negativa ;;
#153374/66;;Negativa ;;
#153374/67;;2 Positiva ;;
#153374/68;;2 Positiva ;;
#153374/69;;Negativa ;;
#153374/70;;Negativa ;;
#153374/71;;2 Positiva ;;
#153374/72;;1 Positiva ;;
#153374/73;;Negativa ;;
#153374/74;;1 Positiva ;;
#153374/75;;2 Positiva ;;
#153374/76;;3 Positiva ;;
#153374/77;;Negativa ;;
#153374/78;;1 Positiva ;;
#153374/79;;Negativa ;;
#153374/80;;Negativa ;;
#153374/81;;Negativa ;;
#153374/82;;Negativa ;;
#153374/83;;1 Positiva ;;
#153374/84;;Negativa ;;
#153374/85;;1 Positiva ;;
#153374/86;;1 Positiva ;;
#153374/87;;Negativa ;;
#153374/88;;4 Positiva ;;
#153374/89;;1 Positiva ;;
#153374/90;;3 Positiva ;;
#153374/91;;2 Positiva ;;
#153374/92;;Negativa ;;
#153374/93;;2 Positiva ;;
#153374/94;;2 Positiva ;;
#153374/95;;Negativa ;;
