Ordens;;Resposta ;custas;motivo do atraso
#146828/8;;;;
#146828/6;;2 Positiva;;
#146828/4;;;;
#146828/20;;1 Positiva;;
#146828/2;;Negativa ;;
#146828/18;;;;
#146828/16;;;;
#146828/14;;2 Positiva;;
#146828/12;;;;
#146828/10;;;;
#146782/99;;;;
#146782/98;;2 Positiva;;
#146782/97;;1 Positiva;;
#146782/96;;1 Positiva;;
#146782/95;;4 Positiva;;
#146782/94;;1 Positiva;;
#146782/93;;;;
#146782/92;;3 Positiva;;
#146782/91;;;;
#146782/90;;;;
#146782/9;;1 Positiva;;
#146782/89;;1 Positiva;;
#146782/88;;;;
#146782/87;;1 Positiva;;
#146782/86;;1 Positiva;;
#146782/85;;1 Positiva;;
#146782/84;;1 Positiva;;
#146782/83;;2 Positiva;;
#146782/82;;;;
#146782/81;;;;
#146782/80;;;;
#146782/8;;Negativa ;;
#146782/79;;2 Positiva;;
#146782/78;;;;
#146782/77;;;;
#146782/76;;;;
#146782/75;;;;
#146782/74;;;;
#146782/73;;2 Positiva;;
#146782/72;;1 Positiva;;
#146782/71;;;;
#146782/70;;;;
#146782/7;;Negativa ;;
#146782/69;;2 Positiva;;
#146782/68;;1 Positiva;;
#146782/67;;;;
#146782/66;;;;
#146782/65;;;;
#146782/64;;Negativa ;;
#146782/63;;Negativa ;;
#146782/62;;1 Positiva;;
#146782/61;;Negativa ;;
#146782/60;;1 Positiva;;
#146782/6;;1 Positiva;;
#146782/59;;1 Positiva;;
#146782/58;;3 Positiva;;
#146782/57;;Negativa ;;
#146782/56;;1 Positiva;;
#146782/55;;Negativa ;;
#146782/54;;Negativa ;;
#146782/53;;2 Positiva;;
#146782/52;;1 Positiva;;
#146782/51;;Negativa ;;
#146782/50;;Negativa ;;
#146782/5;;1 Positiva;;
#146782/49;;1 Positiva;;
#146782/48;;Negativa ;;
#146782/47;;3 Positiva;;
#146782/46;;3 Positiva;;
#146782/45;;Negativa ;;
#146782/44;;Negativa ;;
#146782/43;;1 Positiva;;
#146782/42;;1 Positiva;;
#146782/41;;1 Positiva;;
#146782/40;;1 Positiva;;
#146782/4;;1 Positiva;;
#146782/39;;3 Positiva;;
#146782/38;;1 Positiva;;
#146782/37;;5 Positiva;;
#146782/36;;Negativa ;;
#146782/35;;Negativa ;;
#146782/34;;1 Positiva;;
#146782/33;;Negativa ;;
#146782/32;;Negativa ;;
#146782/31;;Negativa ;;
#146782/30;;Negativa ;;
#146782/3;;1 Positiva;;
#146782/29;;5 Positiva;;
#146782/28;;1 Positiva;;
#146782/27;;Negativa ;;
#146782/26;;3 Positiva;;
#146782/25;;2 Positiva;;
#146782/24;;1 Positiva;;
#146782/23;;Negativa ;;
#146782/22;;Negativa ;;
#146782/21;;1 Positiva;;
#146782/20;;Negativa ;;
#146782/2;;3 Positiva;;
#146782/19;;Negativa ;;
#146782/18;;1 Positiva;;
#146782/17;;2 Positiva;;
#146782/169;;1 Positiva;;
#146782/168;;Negativa ;;
#146782/167;;Negativa ;;
#146782/166;;3 Positiva;;
#146782/165;;Negativa ;;
#146782/164;;Negativa ;;
#146782/163;;Negativa ;;
#146782/162;;1 Positiva;;
#146782/161;;1 Positiva;;
#146782/160;;1 Positiva;;
#146782/16;;Negativa ;;
#146782/159;;5 Positiva;;
#146782/158;;Negativa ;;
#146782/157;;Negativa ;;
#146782/156;;Negativa ;;
#146782/155;;Negativa ;;
#146782/154;;Negativa ;;
#146782/153;;1 Positiva;;
#146782/152;;Negativa ;;
#146782/151;;Negativa ;;
#146782/150;;Negativa ;;
#146782/15;;1 Positiva;;
#146782/149;;Negativa ;;
#146782/148;;Negativa ;;
#146782/147;;1 Positiva;;
#146782/146;;Negativa ;;
#146782/145;;1 Positiva;;
#146782/144;;Negativa ;;
#146782/143;;1 Positiva;;
#146782/142;;Negativa ;;
#146782/141;;3 Positiva;;
#146782/140;;Negativa ;;
#146782/14;;Negativa ;;
#146782/139;;Negativa ;;
#146782/138;;Negativa ;;
#146782/137;;Negativa ;;
#146782/136;;Negativa ;;
#146782/135;;Negativa ;;
#146782/134;;Negativa ;;
#146782/133;;Negativa ;;
#146782/132;;1 Positiva;;
#146782/131;;Negativa ;;
#146782/130;;Negativa ;;
#146782/13;;1 Positiva;;
#146782/129;;Negativa ;;
#146782/128;;Negativa ;;
#146782/127;;Negativa ;;
#146782/126;;1 Positiva;;
#146782/125;;1 Positiva;;
#146782/124;;Negativa ;;
#146782/123;;Negativa ;;
#146782/122;;Negativa ;;
#146782/121;;1 Positiva;;
#146782/120;;9 Positiva;;
#146782/12;;2 Positiva;;
#146782/119;;4 Positiva;;
#146782/118;;Negativa ;;
#146782/117;;Negativa ;;
#146782/116;;Negativa ;;
#146782/115;;Negativa ;;
#146782/114;;2 Positiva;;
#146782/113;;Negativa ;;
#146782/112;;1 Positiva;;
#146782/111;;1 Positiva;;
#146782/110;;1 Positiva;;
#146782/11;;5 Positiva;;
#146782/109;;1 Positiva;;
#146782/108;;Negativa ;;
#146782/107;;Negativa ;;
#146782/106;;1 Positiva;;
#146782/105;;Negativa ;;
#146782/104;;1 Positiva;;
#146782/103;;1 Positiva;;
#146782/102;;3 Positiva;;
#146782/101;;Negativa ;;
#146782/100;;4 Positiva;;
#146782/10;;1 Positiva;;
#146782/1;;Negativa ;;
