Ordens;;Resposta ;custas;motivo do atraso
#145712/1;;4 positiva ;;
#145712/2;;Negativa ;;
#145712/3;;2 positiva ;;
#145712/4;;Negativa ;;
#145712/5;;1positiva ;;
#145712/6;;Negativa ;;
#145712/7;;Negativa ;;
#145712/8;;Negativa ;;
#145712/9;;Negativa ;;
#145712/10;;1 positiva ;;
#145712/11;;Negativa ;;
#145712/12;;1 positiva ;;
#145712/13;;1 positiva ;;
#145712/14;;Negativa ;;
#145712/15;;Negativa ;;
#145712/16;;1 positiva ;;
#145712/17;;5 positiva ;;
#145712/18;;1 positiva ;;
#145712/19;;4 positiva ;;
#145712/20;;Negativa ;;
#145712/21;;1 positiva ;;
#145712/22;;1 positiva ;;
#145712/23;;1 positiva ;;
#145712/24;;1 positiva ;;
#145712/25;;3 positiva ;;
#145712/26;;Negativa ;;
#145712/27;;1 positiva ;;
#145712/28;;1 positiva ;;
#145712/29;;3 positiva ;;
#145712/30;;1 positiva ;;
#145712/31;;Negativa ;;
#145712/32;;Negativa ;;
#145712/33;;2 positiva ;;
#145712/34;;1 positiva ;;
#145712/35;;2 positiva ;;
#145712/36;;Negativa ;;
#145712/37;;2 positiva ;;
#145712/38;;3 positiva  ;;
#145712/39;;3 positiva  ;;
#145712/40;;Negativa ;;
#145712/41;;5 positiva  ;;
#145712/42;;Negativa ;;
#145712/43;;2 positiva  ;;
#145712/44;;Negativa ;;
#145712/45;;1 positiva  ;;
#145712/46;;1 positiva  ;;
#145712/47;;1 positiva  ;;
#145712/48;;Negativa ;;
#145712/49;;2 positiva  ;;
#145712/50;;4 positiva  ;;
#145712/51;;1 positiva  ;;
#145712/52;;4 positiva  ;;
#145712/53;;Negativa ;;
#145712/54;;2 positiva  ;;
#145712/55;;1 positiva  ;;
#145712/56;;Negativa ;;
#145712/57;;Negativa ;;
#145712/58;;3 positiva  ;;
#145712/59;;Negativa ;;
#145712/60;;1 positiva  ;;
#145712/61;;1 positiva  ;;
#145712/62;;Negativa ;;
#145712/63;;Negativa ;;
#145712/64;;3 positiva  ;;
#145712/65;;Negativa ;;
#145712/66;;Negativa ;;
#145712/67;;4 positiva  ;;
#145712/68;;Negativa ;;
#145712/69;;1 positiva  ;;
#145712/70;;Negativa ;;
#145712/71;;Negativa ;;
#145712/72;;2 positiva  ;;
