Relatório ;0;;;;;;;
Entre ;17/03/2011 00:00:00 e 17/03/2015 23:59:59 ;tirado em 17/03/2015 16:48:03;;;;;;
Data/Hora;Ordem;Descrição;Pago;Troco;Valor;Forma;Feito;
00/00/0000 00:00:00;#351487/2;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#348244/8;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351487/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#348244/5;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#348244/3;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351487/3;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351490/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#348244/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351487/4;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351487/5;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351495/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351494/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351481/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#351492/1;Matricula Atualizada;;;41.10;Dinheiro;Não;
00/00/0000 00:00:00;#348244/11;Matricula Atualizada;;;41.10;Dinheiro;Não;
;;;;Total;616.5;;;
