Cartório Postal - Porto Alegre - RS - 10.5%;
Referência:; 06/2010;
Dia;Faturamento;Impostos;Royalties;Propaganda
1;259,00;4.5;25,97;4,95;
2;0,00;4.5;0,00;0,00;
3;0,00;4.5;0,00;0,00;
4;0,00;4.5;0,00;0,00;
5;0,00;4.5;0,00;0,00;
6;0,00;4.5;0,00;0,00;
7;0,00;4.5;0,00;0,00;
8;428,00;4.5;42,92;8,17;
9;0,00;4.5;0,00;0,00;
10;0,00;4.5;0,00;0,00;
11;331,60;4.5;33,25;6,33;
12;0,00;4.5;0,00;0,00;
13;0,00;4.5;0,00;0,00;
14;338,00;4.5;33,89;6,46;
15;840,92;4.5;84,32;16,06;
16;147,00;4.5;14,74;2,81;
17;0,00;4.5;0,00;0,00;
18;0,00;4.5;0,00;0,00;
19;0,00;4.5;0,00;0,00;
20;0,00;4.5;0,00;0,00;
21;0,00;4.5;0,00;0,00;
22;0,00;4.5;0,00;0,00;
23;0,00;4.5;0,00;0,00;
24;0,00;4.5;0,00;0,00;
25;0,00;4.5;0,00;0,00;
26;0,00;4.5;0,00;0,00;
27;0,00;4.5;0,00;0,00;
28;0,00;4.5;0,00;0,00;
29;0,00;4.5;0,00;0,00;
30;0,00;4.5;0,00;0,00;
31;0,00;4.5;0,00;0,00;
Total;2.344,52;4.5;235,10;44,78;
Pedidos Contabilizados:
#99317/1;50,00;
#100257/1;209,00;
#98249/1;59,00;
#100609/1;150,00;
#101458/1;110,00;
#102335/1;109,00;
#101432/5;59,00;
#101432/1;90,00;
#101432/2;31,80;
#101432/3;31,80;
#101432/4;119,00;
#91032/2;159,00;
#102573/1;139,00;
#102936/1;40,00;
#95882/11;60,00;
#95882/7;60,00;
#95882/8;60,00;
#95882/9;60,00;
#95882/12;60,00;
#95882/14;60,00;
#94766/31;51,92;
#95882/15;60,00;
#95882/16;60,00;
#95882/17;60,00;
#100884/1;140,00;
#100884/2;50,00;
#101875/1;59,00;
#102224/1;147,00;
