Pedidos Concluídos após: 03/2010;
Pedido ;Serviço;Descrição;Variação ;Desembolso; Sedex;Rateio;Valor Cobrado;Valor da Tabela;
89444;1;Pesquisa de Imóveis;São Paulo - (Interior) - 2 Cartórios;62,8;0;;95,80;107,00;
89977;1;Distribuições Criminais;São Paulo - (Capital) ;43;12;;65,60;37;
89977;2;Distribuidor Civel;São Paulo (Capital);37;0;;65,60;37,00;
89977;3;Justiça do Trabalho;São Paulo (Capital);20,06;0;;39,80;25,00;
89977;4;Negativa de Protesto;São Paulo - (Capital);178,4;0;;166,00;119,00;
90389;1;Distribuidor Civel;São Paulo (Interior) ;30;12;;48,60;85;
90389;2;Distribuidor Civel;São Paulo (Interior) ;30;0;;48,60;85;
90389;3;Justiça do Trabalho;São Paulo (Interior);14,53;0;;27,72;61,00;
90389;4;Justiça do Trabalho;São Paulo (Interior);14,53;0;;27,72;61,00;
90753;1;Distribuidor Civel;São Paulo (Capital);14;0;;48,60;37,00;
90753;2;Justiça do Trabalho;São Paulo (Capital);5,53;0;;27,72;25,00;
90756;1;Distribuidor Civel;São Paulo (Capital);14;0;;48,60;37,00;
90756;2;Justiça do Trabalho;São Paulo (Capital);5,53;0;;27,72;25,00;
92490;1;Matricula Atualizada;Interior (1 Cartório);41,37;12;;103,00;80;
92703;1;Nascimento;São Paulo - (Interior);60,3;0;;90,00;75,00;
92998;1;Pesquisa de Imóveis;São Paulo - (Interior) - 2 Cartórios;62,74;0;;90,00;107,00;
