Ordens ;Protocolo;Resposta ;Custas;Motivo de Atraso
#147948/2;;4 Positiva ;;
#147948/4;;Negativa ;;
#147969/2;;Negativa ;;
#147969/4;;1 Positiva ;;
#147980/1;;1 Positiva ;;
#147980/2;;Negativa ;;
#147980/3;;Negativa ;;
#147980/4;;9 Positiva ;;
#147980/5;;Negativa ;;
#147980/6;;2 Positiva ;;
#147980/7;;2 Positiva ;;
#147980/8;;1 Positiva ;;
#147980/9;;2 Positiva ;;
#147980/10;;1 Positiva ;;
#147980/11;;1 Positiva ;;
#147980/12;;Negativa ;;
#147980/13;;1 Positiva ;;
#147980/14;;Negativa ;;
#147980/15;;3 Positiva ;;
#147980/16;;1 Positiva ;;
#147980/17;;Negativa ;;
#147980/18;;Negativa ;;
#147980/19;;Negativa ;;
#147980/20;;2 Positiva ;;
#147980/21;;1 Positiva ;;
#147980/22;;Negativa ;;
#147980/23;;3 Positiva ;;
#147980/24;;6 Positiva ;;
#147980/25;;Negativa ;;
#147980/26;;1 Positiva ;;
#147980/27;;1 Positiva ;;
#147980/28;;1 Positiva ;;
#147980/29;;1 Positiva ;;
#147980/30;;1 Positiva ;;
#147980/31;;Negativa ;;
#147980/32;;2 Positiva ;;
#147980/33;;Negativa ;;
#147980/34;;Negativa ;;
#147980/35;;3 Positiva ;;
#147980/36;;Negativa ;;
#147980/37;;4 Positiva ;;
#147980/38;;2 Positiva ;;
#147980/39;;Negativa ;;
#147980/40;;4 Positiva ;;
#147980/41;;3 Positiva ;;
#147980/42;;1 Positiva ;;
#147980/43;;1 Positiva ;;
#147980/44;;1 Positiva ;;
#147980/45;;2 Positiva ;;
#147980/46;;2 Positiva ;;
#147980/47;;1 Positiva ;;
#147980/48;;1 Positiva ;;
#147980/49;;4 Positiva ;;
#147980/50;;4 Positiva ;;
#147980/51;;1 Positiva ;;
#147980/52;;Negativa ;;
#147980/53;;Negativa ;;
#147980/54;;Negativa ;;
#147980/55;;Negativa ;;
#147980/56;;Negativa ;;
#147980/57;;Negativa ;;
#147980/58;;6 Positiva ;;
#147980/59;;2 Positiva ;;
#147980/60;;Negativa ;;
#147980/61;;2 Positiva ;;
#147980/62;;1 Positiva ;;
#147980/63;;1 Positiva ;;
#147980/64;;1 Positiva ;;
#147980/65;;Negativa ;;
#147980/66;;1 Positiva ;;
#147980/67;;Negativa ;;
#147980/68;;2 Positiva ;;
#147980/69;;Negativa ;;
#147980/70;;Negativa ;;
#147980/71;;1 Positiva ;;
#147980/72;;Negativa ;;
#147980/73;;Negativa ;;
#147980/74;;1 Positiva ;;
#147980/75;;Negativa ;;
#147980/76;;1 Positiva ;;
#147980/77;;1 Positiva ;;
#147980/78;;2 Positiva ;;
#147980/79;;Negativa ;;
#147980/80;;Negativa ;;
#147980/81;;Negativa ;;
#147980/82;;Negativa ;;
#147980/83;;3 Positiva ;;
#147980/84;;Negativa ;;
#147980/85;;3 Positiva ;;
#147980/86;;3 Positiva ;;
#147980/87;;Negativa ;;
#147980/88;;Negativa ;;
#147980/89;;Negativa ;;
#147980/90;;Negativa ;;
#147980/91;;1 Positiva ;;
#147980/92;;1 Positiva ;;
#147980/93;;Negativa ;;
#147980/94;;Negativa ;;
#147980/95;;2 Positiva ;;
#147980/96;;4 Positiva ;;
#147980/97;;2 Positiva ;;
#147980/98;;1 Positiva ;;
#147980/99;;Negativa ;;
#147980/100;;2 Positiva ;;
#147980/101;;1 Positiva ;;
#147980/102;;2 Positiva ;;
#147980/103;;Negativa ;;
#147980/104;;1 Positiva ;;
#147980/105;;Negativa ;;
#147980/106;;1 Positiva ;;
#147980/107;;Negativa ;;
#147980/108;;Negativa ;;
#147980/109;;Negativa ;;
#147980/110;;Negativa ;;
#147980/111;;1 Positiva ;;
#147980/112;;Negativa ;;
#147980/113;;8 Positiva ;;
#147980/114;;Negativa ;;
#147980/115;;4 Positiva ;;
#147980/116;;Negativa ;;
#147980/117;;Negativa ;;
#147980/118;;1 Positiva ;;
#147980/119;;Negativa ;;
#147980/120;;2 Positiva ;;
#147980/121;;Negativa ;;
#147980/122;;Negativa ;;
#147980/123;;Negativa ;;
#147980/124;;Negativa ;;
#147980/125;;1 Positiva ;;
#147980/126;;Negativa ;;
#147980/127;;Negativa ;;
#147980/128;;Negativa ;;
#147980/129;;1 Positiva ;;
#147980/130;;1 Positiva ;;
#147980/131;;1 Positiva ;;
#147980/132;;3 Positiva ;;
#147980/133;;Negativa ;;
#147980/134;;Negativa ;;
#147980/135;;Negativa ;;
#147980/136;;1 Positiva ;;
#147980/137;;2 Positiva ;;
#147980/138;;Negativa ;;
#147980/139;;Negativa ;;
#147980/140;;3 Positiva ;;
#147980/141;;1 Positiva ;;
#147980/142;;Negativa ;;
#147980/143;;Negativa ;;
#147980/144;;1 Positiva ;;
#147980/145;;Negativa ;;
#147980/146;;Negativa ;;
#147980/147;;2 Positiva ;;
#147980/148;;1 Positiva ;;
#147980/149;;2 Positiva ;;
#147980/150;;Negativa ;;
#147980/151;;1 Positiva ;;
#147980/152;;1 Positiva ;;
#147980/153;;4 Positiva ;;
#147980/154;;Negativa ;;
#147980/155;;Negativa ;;
#147980/156;;1 Positiva ;;
#147980/157;;Negativa ;;
#147980/158;;Negativa ;;
#147980/159;;Negativa ;;
#147980/160;;2 Positiva ;;
#147980/161;;Negativa ;;
#147980/162;;Negativa ;;
#147980/163;;Negativa ;;
#147980/164;;Negativa ;;
#147980/165;;Negativa ;;
#147980/166;;2 Positiva ;;
#147980/167;;Negativa ;;
#147980/168;;1 Positiva ;;
#147980/169;;2 Positiva ;;
#147980/170;;Negativa ;;
#147980/171;;2 Positiva ;;
#147980/172;;3 Positiva ;;
#147980/173;;Negativa ;;
#147980/174;;Negativa ;;
#147980/175;;Negativa ;;
#147980/176;;1 Positiva ;;
#147980/177;;2 Positiva ;;
#147980/178;;Negativa ;;
#147980/179;;1 Positiva ;;
#147980/180;;Negativa ;;
#147980/181;;Negativa ;;
#147980/182;;2 Positiva ;;
#147980/183;;1 Positiva ;;
#147980/184;;1 Positiva ;;
#147980/185;;3 Positiva ;;
#147980/186;;1 Positiva ;;
#147980/187;;Negativa ;;
#147980/188;;2 Positiva ;;
#147980/189;;Negativa ;;
#147980/190;;1 Positiva ;;
#147980/191;;1 Positiva ;;
#147980/192;;Negativa ;;
#147980/193;;1 Positiva ;;
#147980/194;;Negativa ;;
#147980/195;;Negativa ;;
#147980/196;;Negativa ;;
#147980/197;;4 Positiva ;;
#147980/198;;1 Positiva ;;
#147980/199;;Negativa ;;
#147980/200;;5 Positiva ;;
#147980/201;;1 Positiva ;;
#147980/202;;Negativa ;;
#147980/203;;1 Positiva ;;
#147980/204;;Negativa ;;
#147980/205;;Negativa ;;
#147980/206;;Negativa ;;
#147980/207;;11 Positiva ;;
#147980/208;;3 Positiva ;;
#147980/209;;Negativa ;;
#147980/210;;1 Positiva ;;
#147980/211;;1 Positiva ;;
#147980/212;;Negativa ;;
#147980/213;;2 Positiva ;;
#147980/214;;Negativa ;;
#147980/215;;Negativa ;;
#147980/216;;Negativa ;;
#147980/217;;Negativa ;;
#147980/218;;Negativa ;;
#147980/219;;Negativa ;;
#147980/220;;2 Positiva ;;
#147980/221;;2 Positiva ;;
#147980/222;;Negativa ;;
#147980/223;;Negativa ;;
#147980/224;;Negativa ;;
#147980/225;;Negativa ;;
#147980/226;;Negativa ;;
#147980/227;;Negativa ;;
#147980/228;;5 Positiva ;;
#147980/229;;6 Positiva ;;
#147980/230;;Negativa ;;
#147980/231;;Negativa ;;
#147980/232;;Negativa ;;
#147980/233;;Negativa ;;
#147980/234;;1 Positiva ;;
#147980/235;;1 Positiva ;;
#147980/236;;Negativa ;;
#147980/237;;Negativa ;;
#147980/238;;Negativa ;;
#147980/239;;Negativa ;;
#147980/240;;1 Positiva ;;
#147980/241;;Negativa ;;
#147980/242;;1 Positiva ;;
#147980/243;;Negativa ;;
#147980/244;;1 Positiva ;;
#147980/245;;1 Positiva ;;
#147980/246;;1 Positiva ;;
#147980/247;;Negativa ;;
#147980/248;;2 Positiva ;;
#147980/249;;1 Positiva ;;
#147980/250;;Negativa ;;
#147980/251;;Negativa ;;
#147980/252;;2 Positiva ;;
#147980/253;;2 Positiva ;;
#147980/254;;2 Positiva ;;
#147980/255;;2 Positiva ;;
#147980/256;;Negativa ;;
#147980/257;;Negativa ;;
#147980/258;;3 Positiva ;;
#147980/259;;Negativa ;;
#147980/260;;2 Positiva ;;
#147980/261;;Negativa ;;
#147980/262;;Negativa ;;
#147980/263;;Negativa ;;
#147980/264;;Negativa ;;
#147980/265;;Negativa ;;
#147980/266;;1 Positiva ;;
#147980/267;;1 Positiva ;;
#147980/268;;Negativa ;;
#147980/269;;2 Positiva ;;
#147980/270;;1 Positiva ;;
#147980/271;;Negativa ;;
#147980/272;;1 Positiva ;;
#147980/273;;1 Positiva ;;
#147980/274;;3 Positiva ;;
#147980/275;;1 Positiva ;;
#147980/276;;Negativa ;;
#147980/277;;1 Positiva ;;
#147980/278;;2 Positiva ;;
#147980/279;;3 Positiva ;;
#147980/280;;6 Positiva ;;
#147980/281;;2 Positiva ;;
#147980/282;;1 Positiva ;;
#147980/283;;Negativa ;;
#147980/284;;3 Positiva ;;
#147980/285;;Negativa ;;
#147980/286;;1 Positiva ;;
#147980/287;;1 Positiva ;;
#147980/288;;1 Positiva ;;
#147980/289;;Negativa ;;
#147980/290;;Negativa ;;
#147980/291;;2 Positiva ;;
#147980/292;;4 Positiva ;;
#147980/293;;1 Positiva ;;
#147980/294;;Negativa ;;
#147980/295;;5 Positiva ;;
#147980/296;;1 Positiva ;;
#147980/297;;2 Positiva ;;
#147980/298;;Negativa ;;
#147980/299;;3 Positiva ;;
#147980/300;;2 Positiva ;;
#147980/301;;1 Positiva ;;
#147980/302;;Negativa ;;
#147980/303;;3 Positiva ;;
#147980/304;;Negativa ;;
#147980/305;;3 Positiva ;;
#147980/306;;Negativa ;;
#147980/307;;1 Positiva ;;
#147980/308;;1 Positiva ;;
#147980/309;;Negativa ;;
#147980/310;;1 Positiva ;;
#147980/311;;1 Positiva ;;
#147980/312;;1 Positiva ;;
#147980/313;;1 Positiva ;;
#147980/314;;Negativa ;;
#147980/315;;Negativa ;;
#147980/316;;Negativa ;;
#147980/317;;1 Positiva ;;
#147980/318;;2 Positiva ;;
#147980/319;;Negativa ;;
#147980/320;;4 Positiva ;;
#147980/321;;Negativa ;;
#147980/322;;Negativa ;;
#147980/323;;2 Positiva ;;
#147980/324;;2 Positiva ;;
#147980/325;;1 Positiva ;;
#147980/326;;1 Positiva ;;
#147980/327;;Negativa ;;
#147980/328;;2 Positiva ;;
#147980/329;;2 Positiva ;;
#147980/330;;Negativa ;;
#147980/331;;3 Positiva ;;
#147980/332;;Negativa ;;
#147980/333;;Negativa ;;
#147980/334;;Negativa ;;
#147980/335;;1 Positiva ;;
#147980/336;;1 Positiva ;;
#147980/337;;Negativa ;;
#147980/338;;Negativa ;;
#147980/339;;Negativa ;;
#147980/340;;Negativa ;;
#147980/341;;2 Positiva ;;
#147980/342;;Negativa ;;
#147980/343;;3 Positiva ;;
#147980/344;;3 Positiva ;;
#147980/345;;2 Positiva ;;
#147980/346;;2 Positiva ;;
#147980/347;;5 Positiva ;;
#147980/348;;1 Positiva ;;
#147980/349;;2 Positiva ;;
#147980/350;;1 Positiva ;;
#147980/351;;1 Positiva ;;
#147980/352;;3 Positiva ;;
#147980/353;;1 Positiva ;;
#147980/354;;5 Positiva ;;
#147980/355;;Negativa ;;
#147980/356;;Negativa ;;
#147980/357;;Negativa ;;
#147980/358;;2 Positiva ;;
#147980/359;;1 Positiva ;;
#147980/360;;Negativa ;;
#147980/361;;2 Positiva ;;
#147980/362;;Negativa ;;
#147980/363;;1 Positiva ;;
#147980/364;;3 Positiva ;;
#147980/365;;1 Positiva ;;
#147980/366;;Negativa ;;
#147980/367;;2 Positiva ;;
#147980/368;;Negativa ;;
#147980/369;;Negativa ;;
#147980/370;;1 Positiva ;;
#147980/371;;1 Positiva ;;
#147980/372;;2 Positiva ;;
#147980/373;;Negativa ;;
#147980/374;;Negativa ;;
#147980/375;;11 Positiva ;;
#147980/376;;1 Positiva ;;
#147980/377;;12 Positiva ;;
#147980/378;;1 Positiva ;;
#147980/379;;Negativa ;;
#147980/380;;1 Positiva ;;
#147980/381;;Negativa ;;
#147980/382;;Negativa ;;
#147980/383;;1 Positiva ;;
#147980/384;;Negativa ;;
#147980/385;;Negativa ;;
#147980/386;;Negativa ;;
#147980/387;;1 Positiva ;;
