Referência;08/2010;
CLIENTE;CNPJ;VALOR Agosto;PEDIDOS Agosto;
		1 Banco do Brasil S.A.;	00.000.000/4471-70;0,00;0
CAIXA ECONOMICA FEDERAL;	00.360.305/2023-27;0,00;0
104 Caixa Econômica Federal;	00.360.305/2678-87;0,00;0
LARA ADVOGADOS ASSOCIADOS;	00.385.937/0001-22;0,00;0
Gastaldello, Turco, Barros e Advogados Associados;	00.692.788/0001-44;0,00;0
ARGUS EMPREENDIMENTOS IMOBILIARIOS LTDA.;	00.958.276/0001-87;0,00;0
DR RAMOS ADVOGADOS ASSOCIADOS;	01.318.126/0001-71;0,00;0
HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS);	01.701.201/0001-89;0,00;0
399 HSBC Bank Brasil S.A. - Banco Multiplo;	01.701.201/0728-48;0,00;0
Nobel Biocare Brasil, Ltda.;	01.868.626/0001-87;0,00;0
PINKERTON DO BRASIL LTDA.;	02.214.016/0002-03;0,00;0
KOCH TECNOLOGIA QUIMICA LTDA;	02.222.463/0001-23;0,00;0
PRONTOS DISTRIBUIDORA DE MATERIAIS CIRURGICOS E HOSPITALARES LTDA EPP;	02.587.500/0001-05;0,00;0
MRV CURSO DE INGLÊS  LTDA ;	02.650.135/0001-28;0,00;0
Sanchez & Sanchez Advogados;	02.663.941/0001-30;0,00;0
SPLENDIDO ALIMENTACAO E SERVICOS LTDA                             ;	03.301.938/0001-30;0,00;0
NERONE DO BRASIL CIA. Securitizadora de Créditos Ltda.;	03.513.451/0001-10;0,00;0
J. A. Rezende advogados associados;	03.586.507/0001-67;0,00;0
CARTOCCI ADVOGADOS ASSOCIADOS.;	03.616.895/0001-81;0,00;0
Wizkid Modas Ltda EPP;	03.965.636/0001-66;0,00;0
Luz Marina Coura;	05.035.182/0001-50;0,00;0
FUSÃO SOLUÇÕES PARA MEDICINA LTDA;	05.341.148/0001-03;0,00;0
Elly José Correia;	05.437.753/0001-82;0,00;0
RFR COMERCIO E RECICLAGEM DE METAIS LTDA;	07.100.026/0001-50;0,00;0
DOMANI ADMINISTRACAO E PARTICIPACOES LTDA;	07.342.700/0001-03;0,00;0
Bicbanco S/A;	07.450.604/0001-89;0,00;0
TOURNAI ADMINISTRAÇÃO E PARTICIPAÇÕES LTDA - EPP;	07.451.687/0001-20;0,00;0
ZFAC COMERCIAL LTDA.;	08.049.647/0001-10;0,00;0
LIBRO COMPANHIA SECURITIZADORA DE CREDITOS FINANCEIROS.;	08.351.432/0001-59;0,00;0
LELES CRISTIANE CATUNA - ME;	08.585.577/0001-14;0,00;0
NOVA OLYMPIA PROMOÇÃO DE EVENTOS LTDA;	09.527.407/0001-46;0,00;0
RED BALLOON PERDIZES CURSO DE INGLES LTDA;	09.601.297/0001-15;0,00;0
ACM  Legalizações Empresariais Ltda. - ME;	10.377.191/0001-69;0,00;0
MWCQ ASSES. EMPRESARIAL E REP. LTDA EPP;	10.824.935/0001-46;0,00;0
MARCONE E MARCELO SERVIÇOS AUTOMOTIVOS LTDA EPP;	11.107.402/0001-06;0,00;0
Banco ABN AMRO Real S.A. - AG JABAQUARA - 1259;	33.066.408/0775-09;0,00;0
CITIBANK RISK MANAGEMENT;	33.479.023/0001-80;0,00;0
Cobra Tecnologia S.A;	42.318.949/0001-84;0,00;0
CONVIVENCIA ENGENHARIA PLANEJAMENTO E CONSTRUCÃO;	45.017.639/0001-18;0,00;0
UNIBANCO RODOBENS ADM. CONSÓRCIOS LTDA.;	45.713.971/0001-17;0,00;0
Extinpaul Equipamentos Contra Incêndio Ltda;	51.181.287/0001-34;0,00;0
FLYTOUR TRAVEL SOLUTION;	51.757.300/0001-50;0,00;0
RODOBENS ADMINISTRADORA DE CONSÓRCIOS LTDA.;	51.855.716/0001-01;0,00;0
Tesheiner Cavassani e Giacomazi Advogados e Consultores Legais S/C;	53.283.180/0001-22;0,00;0
INSTAR CONFECÇÕES LTDA - EPP;	58.838.277/0001-78;0,00;0
BANCO GM AC;	59.274.605/0001-13;0,00;0
Mitutoyo Sul Americana Ltda;	59.408.005/0001-09;0,00;0
Clube dos Subtenentes e Sargentos do II Exército;	60.419.959/0001-98;0,00;0
DARCI NADAL ADVOGADOS ASSOCIADOS;	64.182.124/0001-18;0,00;0
Nextel Telecomunicações Ltda;	66.970.229/0001-67;0,00;0
Sistema de Cartório Certidões Ltda EPP;	69.131.159/0001-41;0,00;0
BREST ENGENHARIA E CONSTRUCAO LTDA;	73.792.970/0001-40;0,00;0
HSBC SEGUROS BRASIL S/A.;	76.538.446/0001-36;0,00;0
DR RAMOS ADVOGADOS ASSOCIADOS/BANCO BAMERINDUS;	76.543.115/0001-94;0,00;0
353 Banco Santander Brasil S.A.;	90.400.888/0001-42;0,00;0
356 Banco ABN AMRO Real S.A.;	90.400.888/1393-02;0,00;0
