Referência;2010;
CLIENTE;CNPJ;VALOR Janeiro;PEDIDOS Janeiro;VALOR Fevereiro;PEDIDOS Fevereiro;VALOR Março;PEDIDOS Março;VALOR Abril;PEDIDOS Abril;VALOR Maio;PEDIDOS Maio;VALOR Junho;PEDIDOS Junho;VALOR Julho;PEDIDOS Julho;VALOR Agosto;PEDIDOS Agosto;VALOR Setembro;PEDIDOS Setembro;VALOR Outubro;PEDIDOS Outubro;VALOR Novembro;PEDIDOS Novembro;VALOR Dezembro;PEDIDOS Dezembro;
		CUMBICA FACTORING FOMENTO MERCANTIL LTDA.;	00.327.169/0001-50;60,00;1;0,00;0;400,00;8;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
CAIXA ECONOMICA FEDERAL ;	00.360.305/0247-12;0,00;0;0,00;0;1447,20;14;1056,00;10;375,20;4;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
Four Factoring Fomento Mercantil Ltda.;	01.951.865/0001-04;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;360,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
CENTRO AUTOMOTIVO WM LTDA-ME;	04.907.706/0001-92;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;60,00;1;0,00;0;0,00;0;0,00;0
EMS - IND. COM. E SERV. DE BLINDAGENS CIVIS LTDA-EPP;	06.946.132/0001-97;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;145,00;2;0,00;0;0,00;0;0,00;0;0,00;0
MEDILAR IMÓVEIS DESENVOLVIMENTO URBANO LTDA;	09.103.463/0001-53;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;85,00;1;0,00;0;0,00;0;0,00;0;0,00;0
EXATA OFFICE EMPRESARIAL E SERVIÇOS LTDA. ME;	10.826.231/0001-02;0,00;0;0,00;0;0,00;0;37,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
BANCO NOSSA CAIXA S/A;	43.073.394/0799-73;6358,30;37;0,00;0;5454,40;24;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
Campos Contabilidade e Consultoria Ltda.;	47.347.794/0001-28;190,00;2;0,00;0;426,00;8;0,00;0;0,00;0;0,00;0;96,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
BANCO LEMON S/A;	48.795.256/0001-69;1150,00;6;0,00;0;2214,00;14;500,00;5;200,00;2;500,00;5;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
e.e.i. o pequeno príncipe ltda.;	51.260.016/0001-74;0,00;0;0,00;0;0,00;0;0,00;0;100,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
IMOBILIÁRIA MONTE CARLO S/S LTDA.;	51.265.635/0001-51;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;218,00;6;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
BANCO ITAU S.A ;	60.701.190/0708-11;105,00;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
BANCO BRADESCO S.A.;	60.746.948/0001-12;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;140,00;2;140,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0
