Referência;2011;
CLIENTE;CNPJ;VALOR Janeiro;PEDIDOS Janeiro;VALOR Fevereiro;PEDIDOS Fevereiro;VALOR Março;PEDIDOS Março;VALOR Abril;PEDIDOS Abril;VALOR Maio;PEDIDOS Maio;VALOR Junho;PEDIDOS Junho;VALOR Julho;PEDIDOS Julho;VALOR Agosto;PEDIDOS Agosto;VALOR Setembro;PEDIDOS Setembro;VALOR Outubro;PEDIDOS Outubro;VALOR Novembro;PEDIDOS Novembro;VALOR Dezembro;PEDIDOS Dezembro;VALOR Ano;Pedidos Ano;
		1 Banco do Brasil S.A.;	00.000.000/6689-31;85,60;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;85,60;1,00
104 Caixa Econômica Federal;	00.360.305/2195-64;8897,54;102;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;8897,54;102,00
GIARDINO NOIVAS LTDA ME;	00.425.653/0001-12;60,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;60,00;2,00
DR RAMOS ADVOGADOS ASSOCIADOS.;	01.318.126/0001-71;142,65;3;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;142,65;3,00
SERRAMAR BRASIL SHOP - COMERCIO LTDA EPP;	01.643.365/0001-05;180,00;5;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;180,00;5,00
HSBC BANK BRASIL S/A. (CSU - PROCESSOS JUDICIAIS);	01.701.201/0001-89;928,60;3,068;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;928,60;3068,00
399 HSBC Bank Brasil S.A. - Banco Multiplo;	01.701.201/1063-35;119,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;119,00;1,00
Nobel Biocare Brasil Ltda.;	01.868.626/0001-87;30,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;30,00;1,00
CONFECÇÕES MOREMEL;	02.587.243/0001-01;120,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;120,00;1,00
J. A. Rezende advogados associados;	03.586.507/0001-67;200,00;2;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;200,00;2,00
FUSÃO SOLUÇÕES PARA MEDICINA LTDA;	05.341.148/0001-03;100,00;1;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;100,00;1,00
