Referência;12/2012;
Franquia;Royalties;Fundo de Propaganda;Faturamento;Despesa;Tipo
Águas de Lindóia - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Alagoinhas - BA;R$ 500,00;R$ 0,00;R$ 0,00;R$ 0,00;Fixo 500.00 semestre
Alfenas - MG;R$ 500,00;R$ 8,11;R$ 405,67;R$ 0,00;Fixo 500.00 semestre
Amazonas - AM;R$ 61,25;R$ 24,50;R$ 1.225,00;R$ 0,00;5.00% do Bruto
Anália Franco - SP;R$ 500,00;R$ 82,16;R$ 4.108,00;R$ 0,00;Fixo 500.00 semestre
Ananindeua - PA;R$ 500,00;R$ 37,30;R$ 1.865,00;R$ 0,00;Fixo 500.00 semestre
Aparecida de Goiânia - GO;R$ 500,00;R$ 19,91;R$ 1.925,00;R$ 843,00;Fixo 500.00 semestre
Apucarana - PR;R$ 500,00;R$ 16,42;R$ 821,03;R$ 0,00;Fixo 500.00 semestre
Araçatuba - SP;R$ 53,25;R$ 21,30;R$ 1.065,00;R$ 0,00;5.00% do Bruto
Araguaína - TO;R$ 500,00;R$ 14,20;R$ 710,00;R$ 0,00;Fixo 500.00 semestre
Araguari - MG;R$ 500,00;R$ 8,16;R$ 408,00;R$ 0,00;Fixo 500.00 semestre
Arapongas - PR;R$ 500,00;R$ 8,20;R$ 410,00;R$ 0,00;Fixo 500.00 semestre
Araraquara - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Araruama - RJ;R$ 500,00;R$ 10,39;R$ 519,74;R$ 0,00;Fixo 500.00 semestre
Araxá - MG;R$ 500,00;R$ 11,00;R$ 550,00;R$ 0,00;Fixo 500.00 semestre
Assis - SP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;% do Bruto
Atibaia - SP;R$ 500,00;R$ 19,02;R$ 950,80;R$ 0,00;Fixo 500.00 semestre
Balneário Camboriú - SC;R$ 1.000,00;R$ 13,90;R$ 695,00;R$ 0,00;Fixo 1000.00 semestre
