0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    07042010                                                                                                                                                                                                                                                                                                                                                                                                000001
1014421012444COBR_CAUC_COR  HOTEIS OTHON S/A.                       007575651000310VRG LINHAS AEREAS S A                   PCA SEN SALGADO FILHO S N SALA 02       RIO DE JANEIRO                          20021971RJ2145400001000598651200152001  05042010900BRADESCO S/A        2704201000000000030845000CC                                                                                                                                                                                                                                                                                                                                                                                           92467-1       000002
1008421003482COBR_CAUC_BIC  METALGRAFICA CEARENSE S/AMECESA         006272199000193CIA MARANHENSE DE REFRIGERANTES         RODOVIA MÁRIO ANDREAZZA, N.º 1.800      VARZEA GRANDE                           78110798MT21455000010792146401004801    01042010024CUIABA              2904201000000000011407179CC                                                                                                                                                                                                                                                                                                                                                                                           92467-2       000003
1008421003482COBR_CAUC_COR  METALGRAFICA CEARENSE S/AMECESA         008715757000173REFRESCOS GUARARAPES LTDA-JABOATAO      BR 101 SUL-KM 15,5 - ATT. C. A PAGAR    JABOATAO DOS GU                         54325650PE21456000010792145601004701    01042010900BRADESCO S/A        2904201000000000010043019CC                                                                                                                                                                                                                                                                                                                                                                                           92467-3       000004
1008421003482COBR_CAUC_BIC  METALGRAFICA CEARENSE S/AMECESA         061186888009069SPAL IND. BRASILEIRA DE BEBIDAS S/      AV PRES HUMBERTO A. C. BRANCO,2911      JACAREI                                 12321150SP21457000010792150201007401    03042010007PAULISTA            0805201000000000010322753CC                                                                                                                                                                                                                                                                                                                                                                                           92467-4       000005
1018421007705COBR_CAUC_BIC  MIDIZ IND E COM DE FRALDAS LTDA         006314327000203JC DIST. LOG. IMP. EXP. PROD. IND.      RUA 01,0-QD.01LT.02                     APARECIDA DE GO                         74980970GO2145800001015647771612/1      01042010018GOIANIA             1604201000000000011359035CC                                                                                                                                                                                                                                                                                                                                                                                           92467-5       000006
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900001040630173236-M      02022010010RECIFE              2112201000000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-6       000007
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900002040630253236/N      02022010010RECIFE              2812201000000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-7       000008
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900003040630333236-O      02022010010RECIFE              0401201100000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-8       000009
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900004040630413236/P      02022010010RECIFE              1101201100000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-9       000010
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900005040630503236-Q      02022010010RECIFE              1801201100000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-10      000011
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900006040630683236-R      02022010010RECIFE              2501201100000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-11      000012
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900007040630763236-S      02022010010RECIFE              0102201100000000025000000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-12      000013
1010141004002COBR_CAUC_BIC  INTERNATIONAL COMMODITY TRADE S/A       002909530000930FEDERAL DISTR. DE PETROLEO LTDA         AV. ANTONIO DE GOES,183-SL.05           RECIFE                                  51110000PE2145900008040630843236-T      02022010010RECIFE              0802201100000000022500000TD                                                                                                                                                                                                                                                                                                                                                                                           92467-13      000014
1014421008439COBR_CAUC_BIC  TV OMEGA LTDA                           084684620000187Laboratório Catarinense                 Rua Antonio Pires,- Sala 155 A 810      SaoPaulo                                02730000SP214600000104191024395974      31032010007PAULISTA            2507201000000000030000000CC                                                                                                                                                                                                                                                                                                                                                                                           92467-14      000015
1028421003057COBR_CAUC_COR  QUALIMIX SERV E CONCRETAGENS LTDA       007358761005632GERDAU AçOS LONGOS S.A                  AV BORGES DE MEDEIROS, 650              SAPUCAIA DO SUL                         93212110RS2146100001025924914733        01042010900BRADESCO S/A        0105201000000000011570646CC                                                                                                                                                                                                                                                                                                                                                                                           92467-15      000016
9000015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               000017
