0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Paulista , 1048 12º andar                           BELA VISTA                    SÃO PAULO                     01310100SPBicbanco S/A                                                                    15072010                                                                                                                                                                                                                                                                                                                                                                                                000001
1006420932613DIR_CREDIT     NIVEL CONSTRUCOES LTDA                  007810468000190 PRFEITURA MUNICIPAL DE IGUATU          AV RUI BARBOSA, S/N - SAO SEBASTIAO     IGUATU                                  63500000CE2316500001                                                                                                                                          011041485           160620100000014185            07072010000403EXECUÇAO DE OBRAS E SERVIÇOS DE ENGENHARIA PARA A CONSTRUÇAO DO CENTRO DE CONVENÇOES NO MUNICIPIO DE IGUATU.                                                                                                                                    002960450000151105798-1      000002
1015421013503DIR_CREDIT     CONSORCIO CMR4/ARCHEL                   092924901000198DEPARTAMENTO MUNICIPAL DE AGUA E ESGOTOSRUA 24 DE OUTUBRO, 200                  PORTO ALEGRE                            90510010RS2318100001                                                                                                                                          481016057           03112009000001137903.080314.0907072010000404construção do emissário de esgoto sanitário ebe cristal/ete serraria.                                                                                                                                                                           011428290000195105798-2      000003
1018421017409DIR_CREDIT     EPLAN ENGENHARIA PLAN E ELET LTDA       005914650000166CENTRAIS ELETRICAS DE RONDONIA S.A-CERONAV.DOS IMIGRANTES,4137,DIST.INDUSTRIAL  PORTO VELHO                             76821063RO2319100001                                                                                                                                          011040541           091120090000010832PR/085/2009 08072010000407EXECUÇÃO DE OBRAS DE ENGENHARIA PARA LEVANTAMENTO DE DADOS,ELABORAÇÃO DE PROPOSTAS DE PROJETOS EXECUTIVOS E EXECUÇÃO DE OBRAS DE ELETRIFICAÇÃO RURAL NO ESTADO DO ACRE,FORNECIMENTO INTEGRAL DE MATERIAIS,EQUIP.E MAO DE OBRA.                  002838407000118105798-3      000004
1037420933912COBR_CAUC_COR  COPPER 100 IND. COM. LTDA               021581509000145ELSTER MEDICAO DE AGUA S/A              AV LINCOLN ALVES DOS SANTOS 944         MONTES CLAROS                           39404005MG2320800001043981274947/1      30062010600HSBC BANK BRASIL    0710201000000000013360480CC                                                                                                                                                                                                                                                                                                                                                                                           105798-4      000005
1022421005310COBR_CAUC_BIC  COUROADA COML. E REPRES. LTDA           088148259000125IND DE PELES MINUANO LTDA               AV CAPIVARA 1645                        LINDOLFO COLLOR                         93940000RS232090000103931527827/1       09072010015PORTO ALEGRE        0308201000000000014675951CC                                                                                                                                                                                                                                                                                                                                                                                           105798-5      000006
1043141007013COBR_CAUC_BIC  COMPANHIA USINA SAO JOAO                002909530000697FEDERAL DISTRIBUIDORA DE PETROLEO       RUA PRES JOÃO PESSOA LOTE 13            CABEDELO                                58310000PB232100000100558872211/2010-C  01062010043JOAO PESSOA         2501201100000000032666667TD                                                                                                                                                                                                                                                                                                                                                                                           105798-6      000007
1046421003861COBR_CAUC_COR  METALURGICA DS LTDA                     045990181000189ROBERT BOSCH LTDA                       RUA DONA FRANCISCA, 8300 GALPAO 9A      JOINVILLE                               89239270SC2321100001007648117536-2/1    09072010900BRADESCO S/A        2508201000000000011491903CC                                                                                                                                                                                                                                                                                                                                                                                           105798-7      000008
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               006711485000299RAIMUNDO FLORIANO DE CASTRO             ROD. PI KM 07,2720                      PARNAIBA                                64210260PI2321200001005510707105C       11062010900BRADESCO S/A        1508201000000000001983469CC                                                                                                                                                                                                                                                                                                                                                                                           105798-8      000009
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               006711485000299RAIMUNDO FLORIANO DE CASTRO             ROD. PI KM 07,2720                      PARNAIBA                                64210260PI2321200002005510887105B       11062010900BRADESCO S/A        2607201000000000001983468CC                                                                                                                                                                                                                                                                                                                                                                                           105798-9      000010
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               004782925000192DISTR. DE BEB. E ALIMENTOS PARAHYB      AV. LIBERDADE,1979                      BAYEUX                                  58306000PB23213000010055350110835A      17062010900BRADESCO S/A        0608201000000000000255985CC                                                                                                                                                                                                                                                                                                                                                                                           105798-10     000011
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               004782925000192DISTR. DE BEB. E ALIMENTOS PARAHYB      AV. LIBERDADE,1979                      BAYEUX                                  58306000PB23213000020055359510835B      17062010900BRADESCO S/A        1608201000000000000255908CC                                                                                                                                                                                                                                                                                                                                                                                           105798-11     000012
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               004782925000192DISTR. DE BEB. E ALIMENTOS PARAHYB      AV. LIBERDADE,1979                      BAYEUX                                  58306000PB23213000030055360910835C      17062010900BRADESCO S/A        2608201000000000000255907CC                                                                                                                                                                                                                                                                                                                                                                                           105798-12     000013
1043421001651COBR_CAUC_COR  ENGARRAFAMENTO COROA LTDA               004782925000192DISTR. DE BEB. E ALIMENTOS PARAHYB      AV. LIBERDADE,1979                      BAYEUX                                  58306000PB23213000040055361710834A      17062010900BRADESCO S/A        0608201000000000000131029CC                                                                                                                                                                                                                                                                                                                                                                                           105798-13     000014
