0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    22052012                                                                                                                                                                                                                                                                                                                                                                                                000001
1007421027229COBR_CAUC_COR  ARFRIO S/A ARM GERAIS FRIGORIFICO       002279324000136GDC ALIMENTOS S/A                       RUA EUGENIO PEZZINI,500                 ITAJAI                                  88311000SC354240000100030081000052      16052012900BRADESCO S/A        2505201200000000010002062CC                                                                                                                                                                                                                                                                                                                                                                                           175705-1      000002
1046421001443COBR_CAUC_COR  COSTAO DO SANTINHO TUR E LAZER LTDA     013025489000106CENTRAL DE EVENTOS CONSULTORIA EMP      ALAMEDA MADEIRA,44-LOJA 35              BARUERI                                 06454010SP354250000100005731136383-U    11052012900BRADESCO S/A        3105201200000000132203255CC                                                                                                                                                                                                                                                                                                                                                                                           175705-2      000003
1046421001443COBR_CAUC_COR  COSTAO DO SANTINHO TUR E LAZER LTDA     028152684001561BBTUR VIAGENS E TURISMO LTDA            RUA COMENDADOR ARAUJO,143-14 ANDAR      CURITIBA                                80420900PR354260000100005758136716-U    14052012900BRADESCO S/A        1106201200000000043972328CC                                                                                                                                                                                                                                                                                                                                                                                           175705-3      000004
1018421002967DIR_CREDIT     RENTAL FROTA DIST. E LOGISTICA LTDA     015111297000130EMPRESA EDITORA A TARDE S/A             R PROF MILTON CAYRES DE BRITO, 204      SALVADOR                                41820570BA3543000001                                                                                                                                          001180981           260720070000002401S/Nº        11052012003306Prestação serviços diários e ininterruptos de distribuição do Diário Jornal à Tarde utilizando veículos e mão de obra própria.                                                                                                                  097415681000190175705-4      000005
1046421006070DIR_CREDIT     METALURGICA DS LTDA                     060857349000176TRW AUTOMOTIVE LTDA                     VIA ANHANGUERA KM 147                   LIMEIRA                                 13486915SP3543700001                                                                                                                                          011859102           260320070000018698            16052012017002fornecimento de discos e tambores de freio para automoveis                                                                                                                                                                                      079414868000198175705-5      000006
1021000000000DIR_CREDIT     BUENO CAFE COM E EXPORTACAO LTDA        000009502742834JOAO FARIA DA SILVA                     AV. ADORVANO JOSé VALLIN Nº 875 A       SãO JOãO DA BOA VIST                    13877770SP3544300001                                                                                                                                          011844129           190920110000021503S/N         16052012017002Cessão de 10% ou seja 100% das cotas de capital social integralizadaspelo cedente na empresa Terra Forte Exp.e Imp. de Café Ltda;Grande Leste Exp.e Imp.de Café Ltda e Campo Verde Armazéns Gerais Ltda.                                        063466308000090175705-6      000007
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           002792640000107MARCOS ANTONIO ALVES PISCINAS           AV. DAS EMBAUBAS, 1836                  SINOP                                   78550110MT354440000101284271000033362E  07022012900BRADESCO S/A        1607201200000000000162198CC                                                                                                                                                                                                                                                                                                                                                                                           175705-7      000008
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           002792640000107MARCOS ANTONIO ALVES PISCINAS           AV. DAS EMBAUBAS, 1836                  SINOP                                   78550110MT354440000201284289000033518E  10022012900BRADESCO S/A        1607201200000000000010800CC                                                                                                                                                                                                                                                                                                                                                                                           175705-8      000009
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           002792640000107MARCOS ANTONIO ALVES PISCINAS           AV. DAS EMBAUBAS, 1836                  SINOP                                   78550110MT354440000301284297000033956D  27022012900BRADESCO S/A        0907201200000000000163314CC                                                                                                                                                                                                                                                                                                                                                                                           175705-9      000010
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           011077660000197R2 EMPREENDIMENTOS LTDA                 RUA 1926, 626                           BALNEARIO CAMBO                         88330428SC354450000101284700000030695G  22112011900BRADESCO S/A        1207201200000000000171495CC                                                                                                                                                                                                                                                                                                                                                                                           175705-10     000011
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           011077660000197R2 EMPREENDIMENTOS LTDA                 RUA 1926, 626                           BALNEARIO CAMBO                         88330428SC354450000201284718000030695H  22112011900BRADESCO S/A        1308201200000000000171495CC                                                                                                                                                                                                                                                                                                                                                                                           175705-11     000012
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           000005504353874SAMUEL CESAR JARDIM                     RUA JOAO GALO, 2316                     BIRIGUI                                 16200381SP354460000101354279000033638F  15022012900BRADESCO S/A        1008201200000000000125000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-12     000013
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           000005504353874SAMUEL CESAR JARDIM                     RUA JOAO GALO, 2316                     BIRIGUI                                 16200381SP354460000201354287000033638G  15022012900BRADESCO S/A        1009201200000000000125000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-13     000014
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           000005504353874SAMUEL CESAR JARDIM                     RUA JOAO GALO, 2316                     BIRIGUI                                 16200381SP354460000301354295000033638H  15022012900BRADESCO S/A        1010201200000000000125000CC                                                                                                                                                                                                                                                                                                                                                                                           175705-14     000015
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           007737233000110SANVEL HOTEIS E POUSADAS LTDA           RUA URBANO NETO, 121                     ARACAJU                                49035190SE354470000101284564000025051E  17022012045ARACAJU             1607201200000000000400001CC                                                                                                                                                                                                                                                                                                                                                                                           175705-15     000016
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           007590836000132FERRAZ POCO PROJETOS E CONST.L          CAMPO SALLES,97 CJ-63                   ARACATUBA                               16010000SP354480000101354317000035084E  28032012900BRADESCO S/A        3007201200000000000204002CC                                                                                                                                                                                                                                                                                                                                                                                           175705-16     000017
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           007590836000132FERRAZ POCO PROJETOS E CONST.L          CAMPO SALLES,97 CJ-63                   ARACATUBA                               16010000SP354480000201354325000035084F  28032012900BRADESCO S/A        2808201200000000000204002CC                                                                                                                                                                                                                                                                                                                                                                                           175705-17     000018
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           007590836000132FERRAZ POCO PROJETOS E CONST.L          CAMPO SALLES,97 CJ-63                   ARACATUBA                               16010000SP354480000301354333000035084G  28032012900BRADESCO S/A        2809201200000000000204002CC                                                                                                                                                                                                                                                                                                                                                                                           175705-18     000019
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           000013553405864FLAVIO MAMBREU MENEZES                  RUA RIBEIRO DE BARROS, 519              BIRIGUI                                 16200071SP354490000101284211000033440F  09022012900BRADESCO S/A        3007201200000000000748640CC                                                                                                                                                                                                                                                                                                                                                                                           175705-19     000020
1047421000933COBR_CAUC_COR  AQUECEDOR SOLAR TRANSSEN LTDA           000013553405864FLAVIO MAMBREU MENEZES                  RUA RIBEIRO DE BARROS, 519              BIRIGUI                                 16200071SP354490000201284220000033441F  09022012900BRADESCO S/A        3007201200000000000001619CC                                                                                                                                                                                                                                                                                                                                                                                           175705-20     000021
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           039542220000182ENGEPOM EQUIPAMENTOS PARA REFR          RUA LAURA DE ARAUJO, 118 SALA 201       RIO DE JANEIRO                          20211170RJ354500000101360651000035769A  20042012014RIO DE JANEIRO      2505201200000000000766667CC                                                                                                                                                                                                                                                                                                                                                                                           175705-21     000022
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           039542220000182ENGEPOM EQUIPAMENTOS PARA REFR          RUA LAURA DE ARAUJO, 118 SALA 201       RIO DE JANEIRO                          20211170RJ354500000201360660000035769B  20042012014RIO DE JANEIRO      2506201200000000000766667CC                                                                                                                                                                                                                                                                                                                                                                                           175705-22     000023
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           039542220000182ENGEPOM EQUIPAMENTOS PARA REFR          RUA LAURA DE ARAUJO, 118 SALA 201       RIO DE JANEIRO                          20211170RJ354500000301360678000035769C  20042012014RIO DE JANEIRO      2407201200000000000766666CC                                                                                                                                                                                                                                                                                                                                                                                           175705-23     000024
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000101361011000035178C  30032012017MACEIO              1207201200000000000052500CC                                                                                                                                                                                                                                                                                                                                                                                           175705-24     000025
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000201360694000034555A  15032012017MACEIO              2205201200000000000099667CC                                                                                                                                                                                                                                                                                                                                                                                           175705-25     000026
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000301360708000034555B  15032012017MACEIO              1306201200000000000099667CC                                                                                                                                                                                                                                                                                                                                                                                           175705-26     000027
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000401360716000034555C  15032012017MACEIO              1307201200000000000099666CC                                                                                                                                                                                                                                                                                                                                                                                           175705-27     000028
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000501360724000034556A  15032012017MACEIO              2205201200000000000442267CC                                                                                                                                                                                                                                                                                                                                                                                           175705-28     000029
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000601360732000034556B  15032012017MACEIO              1306201200000000000442267CC                                                                                                                                                                                                                                                                                                                                                                                           175705-29     000030
1047421000933COBR_CAUC_BIC  AQUECEDOR SOLAR TRANSSEN LTDA           011910437000189JG DE OLIVEIRA E CIA LTDA - ME          LADEIRA DR GERALDO MELO, 161            MACEIO                                  57051240AL354510000701360741000034556C  15032012017MACEIO              1307201200000000000442266CC                                                                                                                                                                                                                                                                                                                                                                                           175705-30     000031
