0REMESSANOTIFICAÇÃO ELETRONICA        99999999999999Bicbanco S/A                            Avenida Brigadeiro Faria Lima           4.440     2º andar  Itaim Bibi                    São Paulo                     04538132SPBicbanco S/A                                                                    28022013                                                                                                                                                                                                                                                                                                                                                                                                000001
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       000014053655870JOSE IVALDO DOS SANTOS                  SITIO QUEIMADINHA SN                    SAO BENTO DO UN                         55370000PE4058700001001450200036930     22022013900BRADESCO S/A        1503201300000000000367920CC                                                                                                                                                                                                                                                                                                                                                                                           224040-1      000002
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200001001445380002987     30012013900BRADESCO S/A        2702201300000000003087120CC                                                                                                                                                                                                                                                                                                                                                                                           224040-2      000003
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200002001445460002988     31012013900BRADESCO S/A        2802201300000000002903865CC                                                                                                                                                                                                                                                                                                                                                                                           224040-3      000004
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200003001445540002989     31012013900BRADESCO S/A        2802201300000000002903865CC                                                                                                                                                                                                                                                                                                                                                                                           224040-4      000005
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200004001445620002990     01022013900BRADESCO S/A        0303201300000000003150390CC                                                                                                                                                                                                                                                                                                                                                                                           224040-5      000006
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200005001448720003006     21022013900BRADESCO S/A        1303201300000000000152043CC                                                                                                                                                                                                                                                                                                                                                                                           224040-6      000007
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200006001451010003007     22022013900BRADESCO S/A        2403201300000000003197700CC                                                                                                                                                                                                                                                                                                                                                                                           224040-7      000008
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       034122432000197AVICOLA BARREIRA LTDA                   RUA AYMORE 355                          BARREIRAS                               47804060BA4059200007001451190003008     22022013900BRADESCO S/A        2403201300000000003197700CC                                                                                                                                                                                                                                                                                                                                                                                           224040-8      000009
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       010818793000104ABATEDORA AVICOLA SANTA VITORIA LT      ROD GO 476, SN KM 16                    MORRINHOS                               75650000GO4059100001001450970001929     22022013900BRADESCO S/A        2203201300000000004284000CC                                                                                                                                                                                                                                                                                                                                                                                           224040-9      000010
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       000058531572720BENEDITO ZIMBRAO DA SILVA               ESTRADA TORRAO DE OUTRO, SN             SAO JOSE DO VAL                         25780000RJ4059000001001447590036893     20022013900BRADESCO S/A        2703201300000000003520000CC                                                                                                                                                                                                                                                                                                                                                                                           224040-10     000011
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       007131912000141GONZALES CRIACAO DE AVES E SUINOS       AV THEODORO LAZARINI NR 336             PIRANGI                                 15820000SP4058900001001447910036907     21022013900BRADESCO S/A        2802201300000000003030000CC                                                                                                                                                                                                                                                                                                                                                                                           224040-11     000012
1009421012831COBR_CAUC_COR  ASA ALIMENTOS S/A                       000025367323634FLAVIO JOSE DE ABREU DAVID              CAIXA POSTAL 155                        PARA DE MINAS                           35660013MG4058800001001449700036918     21022013900BRADESCO S/A        2802201300000000001552376CC                                                                                                                                                                                                                                                                                                                                                                                           224040-12     000013
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                011095627000190A S M NETO COMERCIO - ME                AV GENERAL ARTUR CARVALHO NR 10         SAO JOSE DE RIB                         65110000MA405820000100006542004416901   15022013900BRADESCO S/A        0203201300000000002362320CC                                                                                                                                                                                                                                                                                                                                                                                           224040-13     000014
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                011095627000190A S M NETO COMERCIO - ME                AV GENERAL ARTUR CARVALHO NR 10         SAO JOSE DE RIB                         65110000MA405820000200006631004429401   19022013900BRADESCO S/A        0103201300000000002067030CC                                                                                                                                                                                                                                                                                                                                                                                           224040-14     000015
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                011095627000190A S M NETO COMERCIO - ME                AV GENERAL ARTUR CARVALHO NR 10         SAO JOSE DE RIB                         65110000MA405820000300006674004444901   23022013900BRADESCO S/A        1003201300000000002362320CC                                                                                                                                                                                                                                                                                                                                                                                           224040-15     000016
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000100006437004405401   13022013900BRADESCO S/A        0603201300000000002362320CC                                                                                                                                                                                                                                                                                                                                                                                           224040-16     000017
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000200006445004405501   13022013900BRADESCO S/A        0603201300000000002362320CC                                                                                                                                                                                                                                                                                                                                                                                           224040-17     000018
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000300006453004405601   13022013900BRADESCO S/A        0603201300000000002362320CC                                                                                                                                                                                                                                                                                                                                                                                           224040-18     000019
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000400006461004405701   13022013900BRADESCO S/A        0603201300000000002362320CC                                                                                                                                                                                                                                                                                                                                                                                           224040-19     000020
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000500006488004410301   14022013900BRADESCO S/A        0703201300000000002067030CC                                                                                                                                                                                                                                                                                                                                                                                           224040-20     000021
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000600006496004410401   14022013900BRADESCO S/A        0703201300000000002067030CC                                                                                                                                                                                                                                                                                                                                                                                           224040-21     000022
1009421013315COBR_CAUC_COR  ASA NORTE ALIMENTOS LTDA                003707118000142ABATEDOURO SOLON LTDA                   RUA CONSELHEIRO FURTADO S/N             BENEVIDES                               68795000PA405840000700006500004410501   14022013900BRADESCO S/A        0703201300000000002067030CC                                                                                                                                                                                                                                                                                                                                                                                           224040-22     000023
